purchase,age,gender,income
1,40,Female,High
0,38,Female,High
1,42,Female,High
0,43,Female,High
0,29,Male,Low
0,58,Male,Low
0,40,Male,Low
0,35,Male,Low
0,47,Male,Low
0,33,Male,Low
0,40,Male,Low
0,37,Male,Low
0,37,Male,Low
0,40,Male,Low
0,36,Male,Low
0,32,Male,Low
0,37,Male,Low
1,49,Male,Low
0,38,Male,Low
1,36,Male,Low
0,42,Male,Low
0,44,Male,Low
0,38,Male,Low
0,40,Male,Low
0,41,Male,Low
0,40,Male,Low
0,47,Male,Low
1,39,Male,Low
0,38,Male,Low
0,43,Male,Low
0,46,Male,Low
1,48,Male,Low
1,38,Male,Low
0,35,Male,Low
0,38,Male,Low
0,37,Male,Low
0,32,Male,Low
0,29,Male,Low
1,41,Male,Low
1,39,Male,Low
0,40,Male,Low
1,48,Male,Low
0,37,Male,Low
0,40,Male,Low
0,42,Male,Low
0,42,Male,Low
0,38,Male,Low
0,46,Male,Medium
0,45,Male,Medium
0,33,Male,Medium
0,34,Male,Medium
1,33,Male,Medium
0,42,Male,Medium
1,47,Male,Medium
0,43,Male,Medium
0,35,Male,Medium
0,43,Male,Medium
1,33,Male,Medium
0,26,Male,Medium
0,34,Male,Medium
0,43,Male,Medium
0,41,Male,Medium
0,38,Male,Medium
0,25,Male,Medium
1,45,Male,Medium
0,37,Male,Medium
0,34,Male,Medium
0,39,Male,Medium
0,32,Male,Medium
0,44,Male,Medium
0,39,Male,Medium
0,30,Male,Medium
0,36,Male,Medium
0,45,Male,Medium
0,39,Male,Medium
0,44,Male,Medium
0,47,Male,Medium
0,46,Male,Medium
1,34,Male,Medium
1,38,Male,Medium
0,31,Male,Medium
0,34,Male,Medium
1,33,Male,Medium
0,38,Male,Medium
1,43,Male,Medium
0,43,Male,Medium
1,47,Male,Medium
0,41,Male,Medium
1,37,Male,Medium
1,38,Male,Medium
0,38,Male,Medium
1,35,Male,Medium
0,34,Male,Medium
0,33,Male,Medium
0,40,Male,Medium
0,39,Male,Medium
0,41,Male,Medium
1,44,Male,Medium
0,37,Male,Medium
0,41,Male,Medium
0,45,Male,Medium
0,29,Male,Medium
0,40,Male,Medium
0,40,Male,Medium
0,35,Male,Medium
0,49,Male,Medium
0,40,Male,Medium
0,38,Male,Medium
0,41,Male,Medium
0,35,Male,Medium
0,33,Male,Medium
0,47,Male,Medium
0,36,Male,Medium
0,37,Male,Medium
0,40,Male,Medium
1,44,Male,Medium
0,48,Male,Medium
1,43,Male,Medium
0,41,Male,Medium
0,30,Male,Medium
0,42,Male,High
0,33,Male,High
1,41,Male,High
0,33,Male,High
0,37,Male,High
1,42,Male,High
0,25,Male,High
1,39,Male,High
0,39,Male,High
0,36,Male,High
0,43,Male,High
0,41,Male,High
0,34,Male,High
0,37,Male,High
1,46,Male,High
1,42,Male,High
0,40,Male,High
0,41,Male,High
1,39,Male,High
1,34,Male,High
1,35,Male,High
1,35,Male,High
0,44,Male,High
1,45,Male,High
1,38,Male,High
0,39,Male,High
0,38,Male,High
0,43,Male,High
0,31,Male,High
1,45,Male,High
1,36,Male,High
1,33,Male,High
1,49,Male,High
1,41,Male,High
1,41,Male,High
1,31,Male,High
0,34,Male,High
1,39,Male,High
0,44,Male,High
1,46,Male,High
0,32,Male,High
1,52,Male,High
0,41,Male,High
1,48,Male,High
0,50,Male,High
1,38,Male,High
0,36,Male,High
1,34,Male,High
1,37,Male,High
0,38,Male,High
0,42,Male,High
1,33,Male,High
1,35,Male,High
0,30,Male,High
0,48,Male,High
1,35,Male,High
0,44,Male,High
0,41,Male,High
0,37,Male,High
1,35,Male,High
0,46,Male,High
0,37,Male,High
1,47,Male,High
1,39,Male,High
1,47,Male,High
1,45,Male,High
1,37,Male,High
1,37,Male,High
1,33,Male,High
0,40,Male,High
1,43,Male,High
0,31,Male,High
1,32,Male,High
0,34,Male,High
0,34,Male,High
