Movie,Opening_Week_Revenue,Num_Theaters,Overall_Rating,Genre
Van Helsing,51.7,3575,36,1
Collateral,24.7,3188,71,1
Alien Vs. Predator,38.3,3395,29,1
Man on Fire,22.8,2980,47,1
Sex and the City,57,3285,53,2
Mamma Mia!,27.8,2976,51,2
Marley and Me,36.4,3480,53,2
Four Christmases,31.1,3310,41,2
Tropic Thunder,25.8,3319,71,2
Step Brothers,30.9,3094,51,2
You Don't Mess with the Zohan,38.5,3462,54,2
Yes Man,18.3,3434,46,2
Pineapple Express,23.2,3072,64,2
What Happens in Vegas,20.2,3215,36,2
27 Dresses,23,3057,47,2
Wild Hogs,39.7,3287,27,2
Knocked Up,30.7,2871,85,2
Superbad,33.1,2948,76,2
I Now Pronounce You Chuck and Larry,34.2,3495,37,2
Hairspray (2007),27.5,3121,81,2
Blades of Glory,33,3372,64,2
Ocean's Thirteen,36.1,3565,62,2
Evan Almighty,31.2,3604,37,2
Norbit,34.2,3136,27,2
Talladega Nights: The Ballad of Ricky Bobby,47,3803,66,2
Click,40,3749,45,2
The Devil Wears Prada,27.5,2847,62,2
The Break-Up,39.2,3070,45,2
Scary Movie 4,40.2,3602,40,2
Failure to Launch,24.4,3057,47,2
The Pink Panther (2006),20.2,3477,38,2
Nacho Libre,28.3,3070,52,2
"You, Me and Dupree",21.5,3131,46,2
Wedding Crashers,33.9,2925,64,2
Hitch,43.1,3575,58,2
The Longest Yard,47.6,3634,48,2
Fun with Dick and Jane,14.4,3056,47,2
The 40-Year-Old Virgin,21.4,2845,73,2
The Dukes of Hazzard,30.7,3785,33,2
Meet the Fockers,46.1,3518,41,2
Ocean's Twelve,39.2,3290,58,2
50 First Dates,39.9,3591,48,2
DodgeBall: A True Underdog Story,30.1,2694,55,2
Starsky and Hutch,28.1,3185,55,2
Along Came Polly,27.7,2984,44,2
Mean Girls,24.4,2839,66,2
Anchorman: The Legend of Ron Burgundy,28.4,3091,63,2
The Curious Case of Benjamin Button,26.9,2988,70,4
21,24.1,2648,48,4
American Gangster,43.6,3054,76,4
The Pursuit of Happyness,26.5,2852,64,4
Walk the Line,22.3,2961,72,4
The Passion of the Christ,83.8,3043,47,4
The Village,50.7,3730,44,4
The Terminal,19.1,2811,55,4
Saw III,33.6,3167,48,4
Saw II,31.7,2949,40,4
The Ring Two,35.1,3332,44,4
Constantine,29.8,3006,50,4
The Grudge,39.1,3245,49,4
WALL-E,63.1,3992,93,3
Kung Fu Panda,60.2,4114,73,3
Twilight,69.6,3419,56,3
Madagascar: Escape 2 Africa,63.1,4056,61,3
Dr. Seuss' Horton Hears a Who!,45,3954,71,3
The Chronicles of Narnia: Prince Caspian,55,3929,62,3
Bolt,26.2,3651,67,3
Bedtime Stories,27.5,3681,33,3
Beverly Hills Chihuahua,29.3,3215,41,3
High School Musical 3: Senior Year,42,3623,57,3
Shrek the Third,121.6,4122,58,3
Harry Potter and the Order of the Phoenix,77.1,4285,71,3
Alvin and the Chipmunks,44.3,3475,39,3
Ratatouille,47,3940,96,3
The Simpsons Movie,74,3922,80,3
Enchanted,34.4,3730,75,3
Bee Movie,38,3928,54,3
Meet the Robinsons,25.1,3413,61,3
The Game Plan,23,3103,44,3
Bridge to Terabithia,22.6,3139,74,3
Night at the Museum,30.4,3685,48,3
Cars,60.1,3985,73,3
Happy Feet,41.5,3804,77,3
Ice Age: The Meltdown,68,3964,58,3
Over the Hedge,38.5,4059,67,3
Open Season,23.6,3833,49,3
The Santa Clause 3: The Escape Clause,19.5,3458,32,3
Charlotte's Web (2006),11.5,3566,68,3
Eight Below,20.2,3066,64,3
Eragon,23.2,3020,38,3
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",65.6,3616,75,3
Harry Potter and the Goblet of Fire,102.7,3858,81,3
Charlie and the Chocolate Factory,56.2,3770,72,3
Madagascar,47.2,4131,57,3
Chicken Little,40,3654,48,3
Robots,36,3776,64,3
The Pacifier,30.6,3131,30,3
Are We There Yet?,18.6,2709,27,3
Cheaper by the Dozen 2,9.3,3175,34,3
Shrek 2,108,4163,75,3
The Incredibles,70.5,3933,90,3
Harry Potter and the Prisoner of Azkaban,93.7,3855,81,3
The Polar Express,23.3,3650,61,3
Shark Tale,47.6,4016,48,3
Lemony Snicket's A Series of Unfortunate Events,30.1,3620,62,3
The Princess Diaries 2: Royal Engagement,23,3472,43,3
The SpongeBob SquarePants Movie,32,3212,66,3
Scooby-Doo 2: Monsters Unleashed,29.4,3312,34,3
Garfield: The Movie,21.7,3094,26,3
