Carat,Colour,Clarity,Cut*,Certification,Polish,Symmetry,Price,Wholesaler
1.01,E,I1,G,EGL,G,G,2511,2
1.01,E,I1,X,EGL,G,G,2511,2
1.22,K,I1,F,EGL,V,G,2516,2
1.2,G,I2,X,GIA,G,G,2565,2
1.1,G,I1,X,EGL,V,V,2574,2
1.16,J,I1,V,EGL,G,G,2584,2
1.02,E,I1,X,EGL,V,V,2586,2
1.23,L,I1,X,GIA,G,G,2586,2
1,J,SI2,F,EGL,V,G,2591,2
1.01,F,SI3,X,EGL,V,V,2600,2
1.19,H,I2,X,GIA,G,G,2600,2
1.02,H,I1,F,EGL,G,F,2601,2
1.33,L,SI3,X,EGL,G,V,2607,2
1.1,F,I2,X,GIA,V,V,2617,2
1.58,K,I2,F,GIA,F,F,2620,2
1.04,K,I1,X,GIA,G,G,2625,2
1.01,J,SI3,X,EGL,V,V,2625,2
1,H,I1,G,GIA,G,G,2625,2
1.02,G,I1,I,EGL,V,X,2625,2
1.02,K,SI2,X,EGL,V,V,2629,2
1.01,H,SI3,F,EGL,G,F,2640,2
1.01,I,I1,X,GIA,V,G,2651,2
1.01,J,SI3,F,EGL,G,G,2654,2
1,L,VS2,F,GIA,G,G,2655,2
1,I,SI3,F,EGL,G,G,2660,2
1.01,K,SI1,F,EGL,V,G,2668,2
1,G,SI3,F,EGL,F,F,2678,2
1,K,SI2,I,GIA,V,V,2682,2
1.14,F,I1,I,EGL,V,V,2689,2
1,K,SI1,G,EGL,G,V,2689,2
1.01,D,I1,X,EGL,V,X,2692,2
1.03,D,I1,X,EGL,G,V,2692,2
1.03,D,I1,F,EGL,G,G,2692,2
1.05,J,I1,X,GIA,V,G,2693,2
1.41,K,I2,X,GIA,G,G,2704,2
1.16,D,I2,F,GIA,G,G,2714,2
1.01,K,SI1,I,EGL,V,X,2716,2
1,E,I1,G,EGL,G,G,2730,2
1,K,SI2,X,GIA,V,V,2745,2
1,J,SI2,F,EGL,G,F,2745,2
1.06,F,I1,F,EGL,G,G,2745,2
1.01,E,I1,X,EGL,G,V,2757,2
1.12,L,SI2,G,EGL,G,G,2765,2
1.07,L,SI2,X,GIA,V,V,2770,2
1.04,D,I1,I,EGL,X,X,2772,2
1,J,SI2,X,EGL,V,V,2772,2
1.1,G,I1,X,EGL,G,V,2772,2
1.16,F,I1,X,GIA,G,F,2775,2
1,G,I1,X,GIA,V,V,2779,2
1,J,SI1,F,EGL,V,G,2780,2
1,J,SI1,F,EGL,G,F,2780,2
0.09,D,SI1,X,IGI,G,G,190,3
0.09,E,SI1,I,IGI,G,G,160,3
0.09,F,SI1,I,IGI,V,G,160,3
0.09,E,SI1,I,IGI,G,G,180,3
0.09,E,VS1,I,IGI,V,G,190,3
0.1,E,VS2,V,IGI,V,G,330,3
0.1,F,VS1,V,IGI,G,G,180,3
0.1,E,VS2,X,IGI,G,G,180,3
0.1,F,VS2,X,IGI,V,G,180,3
0.1,F,SI1,X,IGI,G,G,190,3
0.1,F,SI1,X,IGI,G,G,160,3
0.1,E,SI1,V,IGI,G,G,160,3
0.1,E,SI2,G,IGI,V,G,190,3
0.1,E,VS1,V,IGI,G,G,180,3
0.1,E,VS1,X,IGI,G,G,180,3
0.1,F,SI1,V,IGI,G,G,180,3
0.1,F,VS1,X,IGI,G,G,180,3
0.1,E,VS2,V,IGI,G,G,180,3
0.11,F,SI1,G,IGI,G,G,160,3
0.11,F,VS2,G,IGI,G,G,190,3
0.11,E,SI1,X,IGI,G,G,160,3
0.11,F,VS2,V,IGI,V,V,180,3
0.11,F,SI1,I,IGI,V,G,180,3
0.2,F,SI1,X,IGI,G,G,320,3
0.21,G,SI1,V,IGI,G,G,330,3
0.21,F,SI1,I,IGI,G,G,330,3
0.21,E,VS2,V,IGI,V,G,340,3
0.21,E,VVS2,X,IGI,V,G,320,3
0.21,F,SI1,X,IGI,V,V,330,3
0.21,F,VS2,X,IGI,G,G,340,3
0.21,E,VS2,I,IGI,V,G,340,3
0.22,E,SI1,I,IGI,G,G,360,3
0.22,F,SI1,V,IGI,G,G,330,3
0.22,D,SI1,X,IGI,G,G,340,3
0.22,F,SI1,V,IGI,G,G,330,3
0.22,E,SI1,I,IGI,V,V,340,3
0.23,E,SI1,V,IGI,V,V,404,3
0.23,F,VVS2,X,GIA,V,V,665,3
0.23,F,SI1,X,IGI,G,G,360,3
0.23,E,SI1,I,IGI,G,G,360,3
0.23,F,VS2,X,IGI,V,G,360,3
0.23,F,SI1,V,IGI,G,G,340,3
0.23,F,SI1,X,IGI,G,G,360,3
0.27,E,VS2,I,GIA,V,V,594,3
0.28,E,VVS2,X,GIA,V,X,658,3
0.28,E,VVS2,X,GIA,V,X,658,3
0.3,I,I1,I,GIA,G,V,372,3
0.3,J,SI2,V,GIA,V,V,439,3
0.3,I,SI2,X,GIA,V,V,466,3
0.3,I,SI2,V,GIA,G,V,466,3
0.3,D,I1,X,GIA,V,V,466,3
0.3,J,SI1,V,GIA,G,X,466,3
0.3,J,SI1,G,GIA,X,X,466,3
0.3,J,SI1,V,GIA,X,V,466,3
0.3,K,VS1,V,GIA,X,V,466,3
0.3,J,VS2,F,GIA,V,V,468,3
0.3,I,SI2,V,GIA,G,V,476,3
0.3,I,SI2,I,GIA,X,X,476,3
0.3,J,SI1,X,GIA,V,G,476,3
0.3,J,SI1,V,GIA,X,V,476,3
0.3,J,SI1,X,GIA,X,G,476,3
0.3,J,SI1,X,GIA,V,V,476,3
0.3,J,SI1,G,GIA,V,V,476,3
0.3,D,I1,X,GIA,V,V,490,3
0.3,H,SI2,G,GIA,V,V,493,3
0.3,H,SI2,X,GIA,V,V,493,3
0.3,H,SI2,X,GIA,V,V,493,3
0.3,H,SI2,I,GIA,V,V,493,3
0.3,H,SI2,X,GIA,V,V,493,3
0.3,H,SI2,X,GIA,V,V,493,3
0.3,I,SI1,I,GIA,V,V,493,3
0.3,G,SI2,G,GIA,G,G,493,3
0.3,J,VS2,X,GIA,V,V,493,3
0.3,J,VS2,V,GIA,V,V,493,3
0.3,J,VS2,V,GIA,G,V,493,3
0.3,J,VS2,I,GIA,V,V,493,3
0.3,J,VS2,V,GIA,V,V,493,3
0.3,J,VS2,X,GIA,V,V,493,3
0.3,H,SI2,G,GIA,X,X,504,3
0.3,H,SI2,V,GIA,X,V,504,3
0.3,H,SI2,X,GIA,X,X,504,3
0.3,H,SI1,F,GIA,V,X,519,3
0.3,H,SI1,V,GIA,V,V,519,3
0.3,E,SI2,X,GIA,G,G,519,3
0.3,F,SI2,V,GIA,V,V,520,3
0.3,F,SI2,V,GIA,V,V,520,3
0.3,F,SI2,V,GIA,G,V,520,3
0.3,F,SI2,X,GIA,V,G,520,3
0.3,F,SI2,I,GIA,V,V,520,3
0.3,F,SI2,I,GIA,V,V,520,3
0.3,F,SI2,I,GIA,G,V,520,3
0.3,F,SI2,I,GIA,V,V,520,3
0.3,F,SI2,V,GIA,V,V,520,3
0.3,F,SI2,V,GIA,V,V,520,3
0.3,G,SI2,X,GIA,X,V,520,3
0.3,G,SI2,I,GIA,V,V,520,3
0.3,G,SI2,I,GIA,V,V,520,3
0.3,I,SI1,V,GIA,X,V,520,3
0.3,I,SI1,V,GIA,V,V,520,3
0.3,I,SI1,V,GIA,V,X,520,3
0.3,I,SI1,V,GIA,X,X,520,3
0.3,F,SI2,I,GIA,G,G,520,3
0.3,F,SI2,V,GIA,V,X,520,3
0.3,G,SI2,G,GIA,V,V,520,3
0.3,G,SI2,V,GIA,X,V,520,3
0.3,G,SI2,X,GIA,V,V,520,3
0.3,G,SI2,X,GIA,V,V,520,3
0.3,G,SI2,V,GIA,G,V,520,3
0.3,I,SI1,G,GIA,V,V,520,3
0.3,I,SI1,V,GIA,V,V,520,3
0.3,I,SI1,V,GIA,G,V,520,3
0.3,I,SI1,V,GIA,V,V,520,3
0.3,I,SI1,V,GIA,V,V,520,3
0.3,I,SI1,I,GIA,V,V,520,3
0.3,I,SI1,F,GIA,G,V,520,3
0.3,I,SI1,X,GIA,V,G,520,3
0.3,I,SI1,I,GIA,G,G,520,3
0.3,I,SI1,I,GIA,V,V,520,3
0.3,I,SI1,I,GIA,V,V,520,3
0.3,I,SI1,V,GIA,V,V,520,3
0.3,I,SI1,X,GIA,X,V,520,3
0.3,J,VS1,V,GIA,X,V,520,3
0.3,J,VS1,X,GIA,V,V,520,3
0.3,J,VS1,V,GIA,V,V,520,3
0.3,J,VS1,V,GIA,V,X,520,3
0.3,J,VS1,X,GIA,V,X,520,3
0.3,J,VS1,V,GIA,V,V,520,3
0.3,J,VS1,X,GIA,V,V,520,3
0.3,J,VS1,V,GIA,V,V,520,3
0.3,J,VS1,X,GIA,G,V,520,3
0.3,J,VS1,X,GIA,V,V,520,3
0.3,J,VS1,G,GIA,X,V,520,3
0.3,J,VS1,X,GIA,V,V,520,3
0.3,J,VS1,X,GIA,X,X,520,3
0.3,J,VS1,I,GIA,V,G,520,3
0.3,J,VS1,V,GIA,V,V,520,3
0.3,J,VS1,I,GIA,V,V,520,3
0.3,K,VVS2,X,GIA,V,V,520,3
0.3,G,SI2,I,GIA,X,V,531,3
0.3,I,SI1,X,GIA,V,V,531,3
0.3,I,SI1,V,GIA,G,V,531,3
0.3,I,SI1,I,GIA,V,V,531,3
0.3,I,SI1,X,GIA,X,V,531,3
0.3,D,SI2,G,GIA,V,V,544,3
0.3,G,SI1,V,GIA,V,V,544,3
0.3,E,SI2,I,GIA,X,X,547,3
0.3,E,SI2,X,GIA,X,V,547,3
0.3,H,SI1,G,GIA,X,X,547,3
0.3,H,SI1,V,GIA,V,G,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,H,SI1,X,GIA,G,G,547,3
0.3,H,SI1,I,GIA,X,X,547,3
0.3,H,SI1,V,GIA,V,G,547,3
0.3,I,VS2,X,GIA,X,V,547,3
0.3,E,SI2,V,GIA,G,G,547,3
0.3,E,SI2,V,GIA,X,X,547,3
0.3,E,SI2,V,GIA,G,V,547,3
0.3,E,SI2,V,GIA,V,V,547,3
0.3,H,SI1,G,GIA,V,G,547,3
0.3,H,SI1,V,GIA,G,X,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,H,SI1,X,GIA,V,X,547,3
0.3,H,SI1,X,GIA,G,G,547,3
0.3,H,SI1,X,GIA,G,V,547,3
0.3,H,SI1,V,GIA,X,V,547,3
0.3,H,SI1,V,GIA,X,V,547,3
0.3,H,SI1,V,GIA,V,V,547,3
0.3,H,SI1,V,GIA,V,V,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,H,SI1,V,GIA,X,V,547,3
0.3,H,SI1,X,GIA,X,V,547,3
0.3,H,SI1,V,GIA,V,V,547,3
0.3,H,SI1,V,GIA,X,V,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,H,SI1,I,GIA,G,V,547,3
0.3,H,SI1,V,GIA,X,V,547,3
0.3,H,SI1,X,GIA,V,V,547,3
0.3,I,VS2,V,GIA,V,X,547,3
0.3,I,VS2,X,GIA,V,V,547,3
0.3,I,VS2,X,GIA,X,X,547,3
0.3,I,VS2,I,GIA,V,V,547,3
0.3,I,VS2,V,GIA,X,V,547,3
0.3,I,VS2,V,GIA,V,V,547,3
0.3,I,VS2,I,GIA,V,V,547,3
0.3,I,VS2,X,GIA,V,V,547,3
0.3,I,VS2,I,GIA,X,V,547,3
0.3,I,VS2,X,GIA,V,X,547,3
0.3,I,VS2,X,GIA,X,V,547,3
0.3,I,VS2,I,GIA,G,V,547,3
0.3,I,VS2,I,GIA,G,V,547,3
0.3,I,VS2,I,GIA,X,V,547,3
0.3,I,VS2,I,GIA,X,V,547,3
0.3,K,VVS1,X,GIA,X,V,547,3
0.3,K,VVS1,V,GIA,X,V,547,3
0.3,H,SI1,G,GIA,V,V,559,3
0.3,H,SI1,X,GIA,V,V,559,3
0.3,H,SI1,V,GIA,X,X,559,3
0.3,H,SI1,X,GIA,V,X,559,3
