SeqNo,Checking,Duration,CreditHistory,Purpose,CreditAmount,Savings,Employment,InstallmentRate,GenderMarital,OtherDebtors,YearsAtResidence,RealEstate,Age,OtherInstallment,Housing,ExistingCredits,Job,NumLiable,Phone,Foreign,Credit
33,A12,18,Up To Date,car (new),5866,A62,1 - 4 years,2,A93,A101,2,A123,30,A143,A152,2,A173,1,A192,A201,Good
34,A14,12,Critical Account,business,1264,A65,>= 7 years,4,A93,A101,4,A124,57,A143,A151,1,A172,1,A191,A201,Good
35,A13,12,Up To Date,furniture/equipment,1474,A61,< 1 year,4,A92,A101,1,A122,33,A141,A152,1,A174,1,A192,A201,Good
36,A12,45,Critical Account,radio/television,4746,A61,< 1 year,4,A93,A101,2,A122,25,A143,A152,2,A172,1,A191,A201,Bad
37,A14,48,Critical Account,education,6110,A61,1 - 4 years,1,A93,A101,3,A124,31,A141,A153,1,A173,1,A192,A201,Good
38,A13,18,Up To Date,radio/television,2100,A61,1 - 4 years,4,A93,A102,2,A121,37,A142,A152,1,A173,1,A191,A201,Bad
39,A13,10,Up To Date,domestic appliances,1225,A61,1 - 4 years,2,A93,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,Good
40,A12,9,Up To Date,radio/television,458,A61,1 - 4 years,4,A93,A101,3,A121,24,A143,A152,1,A173,1,A191,A201,Good
41,A14,30,Up To Date,radio/television,2333,A63,>= 7 years,4,A93,A101,2,A123,30,A141,A152,1,A174,1,A191,A201,Good
42,A12,12,Up To Date,radio/television,1158,A63,1 - 4 years,3,A91,A101,1,A123,26,A143,A152,1,A173,1,A192,A201,Good
43,A12,18,Late Payment,repairs,6204,A61,1 - 4 years,2,A93,A101,4,A121,44,A143,A152,1,A172,2,A192,A201,Good
44,A11,30,Critical Account,car (used),6187,A62,4 - 7 years,1,A94,A101,4,A123,24,A143,A151,2,A173,1,A191,A201,Good
45,A11,48,Critical Account,car (used),6143,A61,>= 7 years,4,A92,A101,4,A124,58,A142,A153,2,A172,1,A191,A201,Bad
46,A14,11,Critical Account,car (new),1393,A61,< 1 year,4,A92,A101,4,A123,35,A143,A152,2,A174,1,A191,A201,Good
47,A14,36,Up To Date,radio/television,2299,A63,>= 7 years,4,A93,A101,4,A123,39,A143,A152,1,A173,1,A191,A201,Good
48,A11,6,Up To Date,car (used),1352,A63,unemployed,1,A92,A101,2,A122,23,A143,A151,1,A171,1,A192,A201,Good
49,A14,11,Critical Account,car (new),7228,A61,1 - 4 years,1,A93,A101,4,A122,39,A143,A152,2,A172,1,A191,A201,Good
50,A14,12,Up To Date,radio/television,2073,A62,1 - 4 years,4,A92,A102,2,A121,28,A143,A152,1,A173,1,A191,A201,Good
51,A12,24,Late Payment,furniture/equipment,2333,A65,< 1 year,4,A93,A101,2,A122,29,A141,A152,1,A172,1,A191,A201,Good
52,A12,27,Late Payment,car (used),5965,A61,>= 7 years,1,A93,A101,2,A123,30,A143,A152,2,A174,1,A192,A201,Good
53,A14,12,Up To Date,radio/television,1262,A61,1 - 4 years,3,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,Good
54,A14,18,Up To Date,car (used),3378,A65,1 - 4 years,2,A93,A101,1,A122,31,A143,A152,1,A173,1,A192,A201,Good
55,A12,36,Late Payment,car (new),2225,A61,>= 7 years,4,A93,A101,4,A124,57,A141,A153,2,A173,1,A192,A201,Bad
56,A14,6,All Paid This Bank,car (new),783,A65,1 - 4 years,1,A93,A103,2,A121,26,A142,A152,1,A172,2,A191,A201,Good
57,A12,12,Up To Date,radio/television,6468,A65,unemployed,2,A93,A101,1,A124,52,A143,A152,1,A174,1,A192,A201,Bad
58,A14,36,Critical Account,radio/television,9566,A61,1 - 4 years,2,A92,A101,2,A123,31,A142,A152,2,A173,1,A191,A201,Good
59,A13,18,Up To Date,car (new),1961,A61,>= 7 years,3,A92,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,Good
60,A11,36,Critical Account,furniture/equipment,6229,A61,< 1 year,4,A92,A102,4,A124,23,A143,A151,2,A172,1,A192,A201,Bad
61,A12,9,Up To Date,business,1391,A61,1 - 4 years,2,A94,A101,1,A121,27,A141,A152,1,A173,1,A192,A201,Good
62,A12,15,Critical Account,radio/television,1537,A65,>= 7 years,4,A93,A103,4,A121,50,A143,A152,2,A173,1,A192,A201,Good
63,A12,36,All Paid,business,1953,A61,>= 7 years,4,A93,A101,4,A124,61,A143,A153,1,A174,1,A192,A201,Bad
64,A12,48,All Paid,business,14421,A61,1 - 4 years,2,A93,A101,2,A123,25,A143,A152,1,A173,1,A192,A201,Bad
65,A14,24,Up To Date,radio/television,3181,A61,< 1 year,4,A92,A101,4,A122,26,A143,A152,1,A173,1,A192,A201,Good
66,A14,27,Up To Date,repairs,5190,A65,>= 7 years,4,A93,A101,4,A122,48,A143,A152,4,A173,2,A192,A201,Good
67,A14,12,Up To Date,radio/television,2171,A61,< 1 year,2,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,Good
68,A12,12,Up To Date,car (new),1007,A64,1 - 4 years,4,A94,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,Good
69,A14,36,Up To Date,education,1819,A61,1 - 4 years,4,A93,A101,4,A124,37,A142,A153,1,A173,1,A192,A201,Bad
70,A14,36,Up To Date,radio/television,2394,A65,1 - 4 years,4,A92,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,Good
71,A14,36,Up To Date,car (used),8133,A61,1 - 4 years,1,A92,A101,2,A122,30,A141,A152,1,A173,1,A191,A201,Good
72,A14,7,Critical Account,radio/television,730,A65,>= 7 years,4,A93,A101,2,A122,46,A143,A151,2,A172,1,A192,A201,Good
73,A11,8,Critical Account,others,1164,A61,>= 7 years,3,A93,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,Good
74,A12,42,Critical Account,business,5954,A61,4 - 7 years,2,A92,A101,1,A121,41,A141,A152,2,A172,1,A191,A201,Good
75,A11,36,Up To Date,education,1977,A65,>= 7 years,4,A93,A101,4,A124,40,A143,A152,1,A174,1,A192,A201,Bad
76,A11,12,Critical Account,car (used),1526,A61,>= 7 years,4,A93,A101,4,A124,66,A143,A153,2,A174,1,A191,A201,Good
77,A11,42,Up To Date,radio/television,3965,A61,< 1 year,4,A93,A101,3,A123,34,A143,A152,1,A173,1,A191,A201,Bad
78,A12,11,Late Payment,radio/television,4771,A61,4 - 7 years,2,A93,A101,4,A122,51,A143,A152,1,A173,1,A191,A201,Good
79,A14,54,All Paid,car (used),9436,A65,1 - 4 years,2,A93,A101,2,A122,39,A143,A152,1,A172,2,A191,A201,Good
80,A12,30,Up To Date,furniture/equipment,3832,A61,< 1 year,2,A94,A101,1,A122,22,A143,A152,1,A173,1,A191,A201,Good
81,A14,24,Up To Date,radio/television,5943,A65,< 1 year,1,A92,A101,1,A123,44,A143,A152,2,A173,1,A192,A201,Bad
82,A14,15,Up To Date,radio/television,1213,A63,>= 7 years,4,A93,A101,3,A122,47,A142,A152,1,A173,1,A192,A201,Good
83,A14,18,Up To Date,business,1568,A62,1 - 4 years,3,A92,A101,4,A122,24,A143,A151,1,A172,1,A191,A201,Good
84,A11,24,Up To Date,others,1755,A61,>= 7 years,4,A92,A103,4,A121,58,A143,A152,1,A172,1,A192,A201,Good
85,A11,10,Up To Date,radio/television,2315,A61,>= 7 years,3,A93,A101,4,A121,52,A143,A152,1,A172,1,A191,A201,Good
86,A14,12,Critical Account,business,1412,A61,1 - 4 years,4,A92,A103,2,A121,29,A143,A152,2,A174,1,A192,A201,Good
87,A12,18,Critical Account,furniture/equipment,1295,A61,< 1 year,4,A92,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,Good
88,A12,36,Up To Date,education,12612,A62,1 - 4 years,1,A93,A101,4,A124,47,A143,A153,1,A173,2,A192,A201,Bad
89,A11,18,Up To Date,car (new),2249,A62,4 - 7 years,4,A93,A101,3,A123,30,A143,A152,1,A174,2,A192,A201,Good
90,A11,12,All Paid,repairs,1108,A61,4 - 7 years,4,A93,A101,3,A121,28,A143,A152,2,A173,1,A191,A201,Bad
91,A14,12,Critical Account,radio/television,618,A61,>= 7 years,4,A93,A101,4,A121,56,A143,A152,1,A173,1,A191,A201,Good
92,A11,12,Critical Account,car (used),1409,A61,>= 7 years,4,A93,A101,3,A121,54,A143,A152,1,A173,1,A191,A201,Good
93,A14,12,Critical Account,radio/television,797,A65,>= 7 years,4,A92,A101,3,A122,33,A141,A152,1,A172,2,A191,A201,Bad
94,A13,24,Critical Account,furniture/equipment,3617,A65,>= 7 years,4,A93,A102,4,A124,20,A143,A151,2,A173,1,A191,A201,Good
95,A12,12,Up To Date,car (new),1318,A64,>= 7 years,4,A93,A101,4,A121,54,A143,A152,1,A173,1,A192,A201,Good
96,A12,54,All Paid,business,15945,A61,< 1 year,3,A93,A101,4,A124,58,A143,A151,1,A173,1,A192,A201,Bad
97,A14,12,Critical Account,education,2012,A65,4 - 7 years,4,A92,A101,2,A123,61,A143,A152,1,A173,1,A191,A201,Good
98,A12,18,Up To Date,business,2622,A62,1 - 4 years,4,A93,A101,4,A123,34,A143,A152,1,A173,1,A191,A201,Good
99,A12,36,Critical Account,radio/television,2337,A61,>= 7 years,4,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,Good
100,A12,20,Late Payment,car (used),7057,A65,4 - 7 years,3,A93,A101,4,A122,36,A141,A151,2,A174,2,A192,A201,Good
101,A14,24,Up To Date,car (new),1469,A62,>= 7 years,4,A94,A101,4,A121,41,A143,A151,1,A172,1,A191,A201,Good
102,A12,36,Up To Date,radio/television,2323,A61,4 - 7 years,4,A93,A101,4,A123,24,A143,A151,1,A173,1,A191,A201,Good
103,A14,6,Late Payment,radio/television,932,A61,1 - 4 years,3,A92,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,Good
104,A12,9,Critical Account,furniture/equipment,1919,A61,4 - 7 years,4,A93,A101,3,A123,35,A143,A151,1,A173,1,A192,A201,Good
105,A14,12,Up To Date,car (used),2445,A65,< 1 year,2,A94,A101,4,A123,26,A143,A151,1,A173,1,A192,A201,Good
106,A12,24,Critical Account,others,11938,A61,1 - 4 years,2,A93,A102,3,A123,39,A143,A152,2,A174,2,A192,A201,Bad
107,A14,18,All Paid This Bank,car (new),6458,A61,>= 7 years,2,A93,A101,4,A124,39,A141,A152,2,A174,2,A192,A201,Bad
108,A12,12,Up To Date,car (new),6078,A61,4 - 7 years,2,A93,A101,2,A123,32,A143,A152,1,A173,1,A191,A201,Good
109,A11,24,Up To Date,furniture/equipment,7721,A65,< 1 year,1,A92,A101,2,A122,30,A143,A152,1,A173,1,A192,A202,Good
110,A12,14,Up To Date,business,1410,A63,>= 7 years,1,A94,A101,2,A121,35,A143,A152,1,A173,1,A192,A201,Good
111,A12,6,Late Payment,business,1449,A62,>= 7 years,1,A91,A101,2,A123,31,A141,A152,2,A173,2,A191,A201,Good
112,A13,15,Up To Date,education,392,A61,< 1 year,4,A92,A101,4,A122,23,A143,A151,1,A173,1,A192,A201,Good
113,A12,18,Up To Date,car (new),6260,A61,4 - 7 years,3,A93,A101,3,A121,28,A143,A151,1,A172,1,A191,A201,Good
114,A14,36,Critical Account,car (new),7855,A61,1 - 4 years,4,A92,A101,2,A121,25,A142,A152,2,A173,1,A192,A201,Bad
115,A11,12,Up To Date,radio/television,1680,A63,>= 7 years,3,A94,A101,1,A121,35,A143,A152,1,A173,1,A191,A201,Good
116,A14,48,Critical Account,radio/television,3578,A65,>= 7 years,4,A93,A101,1,A121,47,A143,A152,1,A173,1,A192,A201,Good
117,A11,42,Up To Date,radio/television,7174,A65,4 - 7 years,4,A92,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,Bad
118,A11,10,Critical Account,furniture/equipment,2132,A65,< 1 year,2,A92,A102,3,A121,27,A143,A151,2,A173,1,A191,A202,Good
119,A11,33,Critical Account,furniture/equipment,4281,A63,1 - 4 years,1,A92,A101,4,A123,23,A143,A152,2,A173,1,A191,A201,Bad
120,A12,12,Critical Account,car (new),2366,A63,4 - 7 years,3,A91,A101,3,A123,36,A143,A152,1,A174,1,A192,A201,Good
121,A11,21,Up To Date,radio/television,1835,A61,1 - 4 years,3,A92,A101,2,A121,25,A143,A152,2,A173,1,A192,A201,Bad
122,A14,24,Critical Account,car (used),3868,A61,>= 7 years,4,A92,A101,2,A123,41,A143,A151,2,A174,1,A192,A201,Good
123,A14,12,Up To Date,furniture/equipment,1768,A61,1 - 4 years,3,A93,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,Good
124,A13,10,Critical Account,car (new),781,A61,>= 7 years,4,A93,A101,4,A124,63,A143,A153,2,A173,1,A192,A201,Good
125,A12,18,Up To Date,furniture/equipment,1924,A65,< 1 year,4,A92,A101,3,A121,27,A143,A151,1,A173,1,A191,A201,Bad
126,A11,12,Critical Account,car (new),2121,A61,1 - 4 years,4,A93,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,Good
127,A11,12,Up To Date,radio/television,701,A61,1 - 4 years,4,A94,A101,2,A121,40,A143,A152,1,A172,1,A191,A201,Good
128,A12,12,Up To Date,repairs,639,A61,1 - 4 years,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,Bad
129,A12,12,Critical Account,car (used),1860,A61,unemployed,4,A93,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,Good
130,A11,12,Critical Account,car (new),3499,A61,1 - 4 years,3,A92,A102,2,A121,29,A143,A152,2,A173,1,A191,A201,Bad
131,A12,48,Up To Date,car (new),8487,A65,4 - 7 years,1,A92,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,Good
132,A11,36,Late Payment,education,6887,A61,1 - 4 years,4,A93,A101,3,A122,29,A142,A152,1,A173,1,A192,A201,Bad
133,A14,15,Up To Date,furniture/equipment,2708,A61,< 1 year,2,A93,A101,3,A122,27,A141,A152,2,A172,1,A191,A201,Good
134,A14,18,Up To Date,furniture/equipment,1984,A61,1 - 4 years,4,A93,A101,4,A124,47,A141,A153,2,A173,1,A191,A201,Good
135,A14,60,Up To Date,radio/television,10144,A62,4 - 7 years,2,A92,A101,4,A121,21,A143,A152,1,A173,1,A192,A201,Good
136,A14,12,Critical Account,radio/television,1240,A65,>= 7 years,4,A92,A101,2,A121,38,A143,A152,2,A173,1,A192,A201,Good
137,A14,27,Late Payment,car (used),8613,A64,1 - 4 years,2,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,Good
138,A12,12,Up To Date,radio/television,766,A63,1 - 4 years,4,A93,A101,3,A121,66,A143,A152,1,A172,1,A191,A201,Bad
139,A12,15,Critical Account,radio/television,2728,A65,4 - 7 years,4,A93,A103,2,A121,35,A141,A152,3,A173,1,A192,A201,Good
140,A13,12,Up To Date,radio/television,1881,A61,1 - 4 years,2,A92,A101,2,A123,44,A143,A151,1,A172,1,A192,A201,Good
141,A13,6,Up To Date,car (new),709,A64,< 1 year,2,A94,A101,2,A121,27,A143,A152,1,A171,1,A191,A202,Good
142,A12,36,Up To Date,radio/television,4795,A61,< 1 year,4,A92,A101,1,A124,30,A143,A152,1,A174,1,A192,A201,Good
143,A11,27,Up To Date,radio/television,3416,A61,1 - 4 years,3,A93,A101,2,A123,27,A143,A152,1,A174,1,A191,A201,Good
144,A11,18,Up To Date,furniture/equipment,2462,A61,1 - 4 years,2,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,Bad
145,A14,21,Critical Account,furniture/equipment,2288,A61,< 1 year,4,A92,A101,4,A122,23,A143,A152,1,A173,1,A192,A201,Good
146,A12,48,All Paid This Bank,business,3566,A62,4 - 7 years,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,Good
147,A11,6,Critical Account,car (new),860,A61,>= 7 years,1,A92,A101,4,A124,39,A143,A152,2,A173,1,A192,A201,Good
148,A14,12,Critical Account,car (new),682,A62,4 - 7 years,4,A92,A101,3,A123,51,A143,A152,2,A173,1,A192,A201,Good
149,A11,36,Critical Account,furniture/equipment,5371,A61,1 - 4 years,3,A93,A103,2,A122,28,A143,A152,2,A173,1,A191,A201,Good
150,A14,18,Critical Account,radio/television,1582,A64,>= 7 years,4,A93,A101,4,A123,46,A143,A152,2,A173,1,A191,A201,Good
151,A14,6,Up To Date,radio/television,1346,A62,>= 7 years,2,A93,A101,4,A124,42,A141,A153,1,A173,2,A192,A201,Good
152,A14,10,Up To Date,radio/television,1924,A61,1 - 4 years,1,A93,A101,4,A122,38,A143,A152,1,A173,1,A192,A202,Good
153,A13,36,Up To Date,radio/television,5848,A61,1 - 4 years,4,A93,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,Good
154,A12,24,Critical Account,car (used),7758,A64,>= 7 years,2,A92,A101,4,A124,29,A143,A151,1,A173,1,A191,A201,Good
155,A12,24,Late Payment,business,6967,A62,4 - 7 years,4,A93,A101,4,A123,36,A143,A151,1,A174,1,A192,A201,Good
156,A11,12,Up To Date,furniture/equipment,1282,A61,1 - 4 years,2,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,Bad
157,A11,9,Critical Account,repairs,1288,A62,>= 7 years,3,A93,A103,4,A121,48,A143,A152,2,A173,2,A191,A202,Good
158,A11,12,All Paid This Bank,retraining,339,A61,>= 7 years,4,A94,A101,1,A123,45,A141,A152,1,A172,1,A191,A201,Good
159,A12,24,Up To Date,car (new),3512,A62,4 - 7 years,2,A93,A101,3,A123,38,A141,A152,2,A173,1,A192,A201,Good
160,A14,6,Critical Account,radio/television,1898,A65,1 - 4 years,1,A93,A101,2,A121,34,A143,A152,2,A172,2,A191,A201,Good
161,A14,24,Critical Account,radio/television,2872,A62,>= 7 years,3,A93,A101,4,A121,36,A143,A152,1,A173,2,A192,A201,Good
162,A14,18,Critical Account,car (new),1055,A61,< 1 year,4,A92,A101,1,A122,30,A143,A152,2,A173,1,A191,A201,Good
163,A14,15,Up To Date,domestic appliances,1262,A63,4 - 7 years,4,A93,A101,3,A122,36,A143,A152,2,A173,1,A192,A201,Good
164,A12,10,Up To Date,car (new),7308,A61,unemployed,2,A93,A101,4,A124,70,A141,A153,1,A174,1,A192,A201,Good
165,A14,36,Up To Date,car (new),909,A63,>= 7 years,4,A93,A101,4,A122,36,A143,A152,1,A173,1,A191,A201,Good
166,A14,6,Up To Date,furniture/equipment,2978,A63,1 - 4 years,1,A93,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,Good
167,A11,18,Up To Date,furniture/equipment,1131,A61,unemployed,4,A92,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,Bad
168,A12,11,Up To Date,furniture/equipment,1577,A64,< 1 year,4,A92,A101,1,A121,20,A143,A152,1,A173,1,A191,A201,Good
169,A14,24,Up To Date,furniture/equipment,3972,A61,4 - 7 years,2,A92,A101,4,A122,25,A143,A151,1,A173,1,A192,A201,Good
170,A12,24,Critical Account,business,1935,A61,>= 7 years,4,A91,A101,4,A121,31,A143,A152,2,A173,1,A192,A201,Bad
171,A11,15,All Paid,car (new),950,A61,>= 7 years,4,A93,A101,3,A123,33,A143,A151,2,A173,2,A191,A201,Bad
172,A14,12,Up To Date,furniture/equipment,763,A61,1 - 4 years,4,A92,A101,1,A121,26,A143,A152,1,A173,1,A192,A201,Good
173,A12,24,Late Payment,furniture/equipment,2064,A61,unemployed,3,A92,A101,2,A122,34,A143,A152,1,A174,1,A192,A201,Bad
174,A12,8,Up To Date,radio/television,1414,A61,1 - 4 years,4,A93,A103,2,A121,33,A143,A152,1,A173,1,A191,A202,Good
175,A11,21,Late Payment,education,3414,A61,< 1 year,2,A93,A101,1,A122,26,A143,A152,2,A173,1,A191,A201,Bad
176,A14,30,All Paid This Bank,car (used),7485,A65,unemployed,4,A92,A101,1,A121,53,A141,A152,1,A174,1,A192,A201,Bad
177,A11,12,Up To Date,furniture/equipment,2577,A61,1 - 4 years,2,A91,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,Good
178,A11,6,Critical Account,radio/television,338,A63,>= 7 years,4,A93,A101,4,A123,52,A143,A152,2,A173,1,A191,A201,Good
179,A14,12,Up To Date,radio/television,1963,A61,4 - 7 years,4,A93,A101,2,A123,31,A143,A151,2,A174,2,A192,A201,Good
180,A11,21,Critical Account,car (new),571,A61,>= 7 years,4,A93,A101,4,A121,65,A143,A152,2,A173,1,A191,A201,Good
181,A14,36,Late Payment,business,9572,A61,< 1 year,1,A91,A101,1,A123,28,A143,A152,2,A173,1,A191,A201,Bad
182,A12,36,Late Payment,business,4455,A61,1 - 4 years,2,A91,A101,2,A121,30,A142,A152,2,A174,1,A192,A201,Bad
183,A11,21,All Paid This Bank,car (new),1647,A65,1 - 4 years,4,A93,A101,2,A122,40,A143,A152,2,A172,2,A191,A201,Bad
184,A14,24,Critical Account,furniture/equipment,3777,A64,1 - 4 years,4,A93,A101,4,A121,50,A143,A152,1,A173,1,A192,A201,Good
185,A12,18,Critical Account,car (new),884,A61,>= 7 years,4,A93,A101,4,A123,36,A141,A152,1,A173,2,A192,A201,Bad
186,A14,15,Critical Account,radio/television,1360,A61,1 - 4 years,4,A93,A101,2,A122,31,A143,A152,2,A173,1,A191,A201,Good
187,A12,9,All Paid This Bank,car (used),5129,A61,>= 7 years,2,A92,A101,4,A124,74,A141,A153,1,A174,2,A192,A201,Bad
188,A12,16,Critical Account,car (new),1175,A61,unemployed,2,A93,A101,3,A123,68,A143,A153,3,A171,1,A192,A201,Good
189,A11,12,Up To Date,radio/television,674,A62,4 - 7 years,4,A94,A101,1,A122,20,A143,A152,1,A173,1,A191,A201,Bad
190,A12,18,All Paid,furniture/equipment,3244,A61,1 - 4 years,1,A92,A101,4,A123,33,A141,A152,2,A173,1,A192,A201,Good
191,A14,24,Up To Date,business,4591,A64,1 - 4 years,2,A93,A101,3,A122,54,A143,A152,3,A174,1,A192,A201,Bad
192,A12,48,All Paid,business,3844,A62,4 - 7 years,4,A93,A101,4,A124,34,A143,A153,1,A172,2,A191,A201,Bad
193,A12,27,Up To Date,business,3915,A61,1 - 4 years,4,A93,A101,2,A123,36,A143,A152,1,A173,2,A192,A201,Bad
194,A14,6,Up To Date,radio/television,2108,A61,4 - 7 years,2,A94,A101,2,A121,29,A143,A151,1,A173,1,A191,A201,Good
195,A12,45,Up To Date,radio/television,3031,A62,1 - 4 years,4,A93,A103,4,A122,21,A143,A151,1,A173,1,A191,A201,Bad
196,A12,9,Critical Account,education,1501,A61,>= 7 years,2,A92,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,Bad
197,A14,6,Critical Account,radio/television,1382,A61,1 - 4 years,1,A92,A101,1,A123,28,A143,A152,2,A173,1,A192,A201,Good
198,A12,12,Up To Date,furniture/equipment,951,A62,< 1 year,4,A92,A101,4,A123,27,A141,A151,4,A173,1,A191,A201,Bad
199,A12,24,Up To Date,car (used),2760,A65,>= 7 years,4,A93,A101,4,A124,36,A141,A153,1,A173,1,A192,A201,Good
200,A12,18,Late Payment,furniture/equipment,4297,A61,>= 7 years,4,A91,A101,3,A124,40,A143,A152,1,A174,1,A192,A201,Bad
201,A14,9,Critical Account,education,936,A63,>= 7 years,4,A93,A101,2,A123,52,A143,A152,2,A173,1,A192,A201,Good
