id,destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
E12849,Home,Partner,Rainy,55,6PM,Carry out & Take away,1d,Female,21,Unmarried partner,0,Some college - no degree,Student,Less than $12500,,1~3,1~3,4~8,1~3,less1,1,0,0,1,0,1
J17476,No Urgent Place,Friend(s),Sunny,55,10AM,Restaurant(<20),2h,Male,31,Single,0,Some college - no degree,Office & Administrative Support,$12500 - $24999,,4~8,never,gt8,4~8,never,1,1,0,0,1,0
H10613,No Urgent Place,Friend(s),Sunny,30,10PM,Restaurant(<20),2h,Male,21,Single,0,Associates degree,Computer & Mathematical,$37500 - $49999,Car that is too old to install Onstar :D,never,less1,1~3,less1,less1,1,0,0,0,1,1
G06385,No Urgent Place,Friend(s),Snowy,30,10AM,Carry out & Take away,1d,Female,41,Unmarried partner,1,Some college - no degree,Unemployed,Less than $12500,,never,1~3,1~3,4~8,less1,1,1,0,0,1,0
B38404,No Urgent Place,Alone,Rainy,55,10AM,Coffee House,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$50000 - $62499,,never,1~3,1~3,1~3,1~3,1,1,0,0,1,1
E75779,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,50plus,Single,0,Bachelors degree,Management,$100000 or More,,1~3,4~8,4~8,1~3,less1,1,0,0,0,1,1
F19328,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Female,below21,Unmarried partner,0,High School Graduate,Student,Less than $12500,,never,4~8,1~3,4~8,less1,1,0,0,1,0,0
F64567,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),2h,Male,21,Single,0,Bachelors degree,Sales & Related,$100000 or More,,less1,4~8,1~3,4~8,1~3,1,1,0,0,1,1
J63994,Home,Alone,Sunny,80,10PM,Carry out & Take away,1d,Male,21,Single,0,Bachelors degree,Student,$100000 or More,,1~3,4~8,1~3,4~8,1~3,1,0,0,1,0,0
C15864,No Urgent Place,Kid(s),Rainy,55,10PM,Bar,1d,Female,50plus,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$37500 - $49999,,never,1~3,never,1~3,less1,1,1,0,0,1,0
E42405,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,,never,less1,1~3,less1,less1,1,1,0,0,1,1
C89824,No Urgent Place,Friend(s),Sunny,30,10PM,Carry out & Take away,1d,Female,50plus,Divorced,1,Some college - no degree,Unemployed,$37500 - $49999,,never,never,4~8,1~3,less1,1,1,0,0,1,1
I88400,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Architecture & Engineering,$100000 or More,,less1,1~3,1~3,gt8,never,1,0,0,0,1,1
G13733,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(20-50),2h,Male,26,Unmarried partner,0,Bachelors degree,Management,$25000 - $37499,,1~3,never,4~8,never,1~3,1,1,0,0,1,0
I86088,Home,Alone,Sunny,80,6PM,Carry out & Take away,1d,Female,50plus,Divorced,1,Some college - no degree,Unemployed,$37500 - $49999,,never,never,4~8,1~3,less1,1,0,0,0,1,1
H91733,Home,Alone,Sunny,80,6PM,Coffee House,1d,Female,21,Single,0,Some college - no degree,Student,$50000 - $62499,,never,never,never,gt8,less1,1,0,0,0,1,0
A96751,Work,Alone,Sunny,80,7AM,Coffee House,2h,Female,26,Unmarried partner,0,Bachelors degree,Management,$62500 - $74999,,1~3,gt8,gt8,gt8,gt8,1,1,0,1,0,0
H13008,No Urgent Place,Friend(s),Snowy,30,2PM,Restaurant(<20),1d,Male,26,Single,0,Some college - no degree,Unemployed,$100000 or More,,1~3,never,4~8,1~3,less1,1,0,0,0,1,0
B69765,No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),1d,Female,41,Married partner,1,Bachelors degree,Education&Training&Library,$25000 - $37499,,never,1~3,1~3,1~3,1~3,1,1,0,0,1,1
B21571,Work,Alone,Rainy,55,7AM,Carry out & Take away,1d,Female,21,Unmarried partner,0,Bachelors degree,Unemployed,$37500 - $49999,,never,4~8,1~3,1~3,less1,1,0,0,0,1,1
E40089,Work,Alone,Sunny,55,7AM,Bar,1d,Male,36,Married partner,1,Bachelors degree,Sales & Related,$62500 - $74999,,never,never,less1,1~3,1~3,1,1,1,0,1,0
H91768,Work,Alone,Sunny,55,7AM,Bar,1d,Male,21,Married partner,0,Some college - no degree,Education&Training&Library,$25000 - $37499,,never,never,1~3,1~3,less1,1,1,1,0,1,0
C34206,Work,Alone,Snowy,30,7AM,Coffee House,1d,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$62500 - $74999,,4~8,1~3,gt8,gt8,1~3,1,0,0,1,0,1
G31282,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,,1~3,gt8,4~8,1~3,less1,1,0,0,0,1,0
E05273,No Urgent Place,Kid(s),Sunny,80,10PM,Restaurant(20-50),1d,Female,41,Single,1,Bachelors degree,Healthcare Support,$75000 - $87499,,less1,less1,1~3,1~3,less1,1,1,0,0,1,1
K51643,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,2h,Female,36,Divorced,1,Bachelors degree,Sales & Related,$12500 - $24999,,never,less1,1~3,less1,never,1,1,0,0,1,1
A67041,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,50plus,Unmarried partner,1,Some college - no degree,Management,$37500 - $49999,,never,never,4~8,1~3,less1,1,1,1,0,1,1
C02017,No Urgent Place,Alone,Rainy,55,10AM,Coffee House,1d,Male,21,Single,0,Bachelors degree,Legal,$87500 - $99999,,1~3,never,less1,less1,less1,1,1,0,0,1,0
E92388,Work,Alone,Snowy,30,7AM,Restaurant(<20),2h,Male,26,Married partner,0,Associates degree,Building & Grounds Cleaning & Maintenance,$37500 - $49999,,less1,less1,1~3,1~3,less1,1,1,1,0,1,0
D23930,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,Married partner,0,Bachelors degree,Computer & Mathematical,$62500 - $74999,,never,less1,less1,gt8,1~3,1,1,1,0,1,0
E59516,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$100000 or More,,less1,less1,1~3,1~3,1~3,1,1,0,0,1,1
C15174,Home,Alone,Sunny,55,6PM,Bar,1d,Male,31,Married partner,0,Some college - no degree,Construction & Extraction,$100000 or More,,1~3,never,4~8,1~3,1~3,1,0,0,1,0,1
J45363,No Urgent Place,Partner,Rainy,55,6PM,Bar,2h,Male,50plus,Married partner,1,Some college - no degree,Business & Financial,$100000 or More,,less1,1~3,4~8,1~3,1~3,1,1,0,0,1,0
F12956,No Urgent Place,Friend(s),Rainy,55,10PM,Restaurant(20-50),2h,Female,50plus,Single,1,Some college - no degree,Unemployed,Less than $12500,,never,1~3,less1,1~3,less1,1,1,0,0,1,0
I32449,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$37500 - $49999,,1~3,4~8,1~3,4~8,less1,1,0,0,0,1,0
I09502,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,1d,Male,26,Married partner,0,Associates degree,Building & Grounds Cleaning & Maintenance,$37500 - $49999,,less1,less1,1~3,1~3,less1,1,1,0,0,1,1
E74082,No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),2h,Male,50plus,Married partner,1,Associates degree,Unemployed,$37500 - $49999,,less1,less1,less1,4~8,less1,1,0,0,0,1,0
F82556,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,50plus,Unmarried partner,1,Associates degree,Retired,$50000 - $62499,,never,4~8,4~8,1~3,less1,1,0,0,1,0,1
B60214,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Female,26,Single,0,Bachelors degree,Unemployed,Less than $12500,,4~8,1~3,gt8,4~8,1~3,1,0,0,0,1,1
C95385,No Urgent Place,Friend(s),Rainy,55,10PM,Restaurant(20-50),2h,Male,21,Single,1,Some college - no degree,Student,$62500 - $74999,,never,never,4~8,1~3,1~3,1,1,0,0,1,1
F79701,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,below21,Single,0,Bachelors degree,Student,$12500 - $24999,,gt8,1~3,less1,4~8,gt8,1,0,0,0,1,1
G24417,No Urgent Place,Alone,Sunny,80,10PM,Restaurant(<20),1d,Female,36,Divorced,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,,never,gt8,4~8,4~8,less1,1,0,0,0,1,1
E54271,Work,Alone,Sunny,55,7AM,Bar,1d,Male,50plus,Married partner,1,Some college - no degree,Computer & Mathematical,$37500 - $49999,,1~3,less1,4~8,1~3,1~3,1,1,1,0,1,0
A90095,Home,Alone,Sunny,80,6PM,Restaurant(<20),2h,Female,36,Unmarried partner,0,Graduate degree (Masters or Doctorate),Legal,$62500 - $74999,,1~3,gt8,4~8,gt8,1~3,1,0,0,1,0,1
C42411,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,36,Married partner,1,Some college - no degree,Management,$50000 - $62499,,less1,1~3,4~8,1~3,1~3,1,1,0,0,1,1
H37537,No Urgent Place,Friend(s),Rainy,55,10PM,Bar,2h,Female,below21,Single,0,Some college - no degree,Healthcare Support,Less than $12500,,never,1~3,less1,4~8,less1,1,1,0,0,1,1
J84086,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Male,50plus,Single,0,Bachelors degree,Management,$100000 or More,,1~3,4~8,4~8,1~3,less1,1,0,0,1,0,0
E95441,No Urgent Place,Partner,Sunny,80,6PM,Bar,2h,Male,36,Single,0,Some college - no degree,Computer & Mathematical,$37500 - $49999,,less1,1~3,4~8,1~3,less1,1,1,0,0,1,1
I14536,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$75000 - $87499,,gt8,less1,gt8,4~8,never,1,0,0,0,1,0
I97583,No Urgent Place,Partner,Rainy,55,6PM,Bar,2h,Male,below21,Unmarried partner,0,Some college - no degree,Student,$25000 - $37499,,never,never,1~3,less1,never,1,1,0,0,1,0
G97808,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,1d,Male,46,Married partner,1,Graduate degree (Masters or Doctorate),Retired,$50000 - $62499,,never,never,less1,4~8,1~3,1,1,0,0,1,1
C48538,Work,Alone,Snowy,30,7AM,Restaurant(20-50),1d,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Business & Financial,$37500 - $49999,,less1,gt8,1~3,1~3,1~3,1,1,1,0,1,0
B09587,Work,Alone,Rainy,55,7AM,Carry out & Take away,2h,Male,26,Single,0,Some college - no degree,Unemployed,$87500 - $99999,,never,1~3,4~8,less1,never,1,1,0,1,0,1
A29766,Home,Kid(s),Sunny,55,10PM,Restaurant(20-50),1d,Female,50plus,Married partner,1,High School Graduate,Sales & Related,$37500 - $49999,,never,gt8,4~8,1~3,less1,1,1,0,1,0,0
J99282,Work,Alone,Rainy,55,7AM,Restaurant(<20),2h,Male,41,Single,0,Bachelors degree,Business & Financial,$62500 - $74999,,1~3,4~8,1~3,4~8,4~8,1,0,0,1,0,1
H85358,Home,Alone,Sunny,80,6PM,Coffee House,1d,Male,50plus,Married partner,1,Associates degree,Unemployed,$37500 - $49999,,less1,less1,less1,4~8,less1,1,0,0,1,0,0
J61162,Work,Alone,Sunny,30,7AM,Bar,1d,Male,21,Single,1,Some college - no degree,Personal Care & Service,$25000 - $37499,,1~3,4~8,less1,never,never,1,1,0,1,0,1
G06318,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,41,Divorced,1,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,,never,gt8,less1,1~3,never,1,1,1,0,1,1
D75936,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$50000 - $62499,,never,4~8,4~8,1~3,less1,1,1,1,0,1,0
F30499,No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Female,50plus,Unmarried partner,1,Some college - no degree,Retired,$37500 - $49999,,never,1~3,less1,1~3,1~3,1,1,0,0,1,0
C17377,No Urgent Place,Alone,Sunny,80,10AM,Bar,1d,Male,26,Single,0,Associates degree,Unemployed,Less than $12500,,less1,never,1~3,less1,less1,1,0,0,0,1,1
B05786,No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,41,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,,never,never,4~8,1~3,less1,1,1,0,0,1,0
D72413,Work,Alone,Sunny,55,7AM,Bar,1d,Male,31,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,,4~8,gt8,gt8,1~3,less1,1,1,1,0,1,1
D91079,No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,50plus,Married partner,1,Some college - no degree,Transportation & Material Moving,$75000 - $87499,,never,never,4~8,gt8,less1,1,1,0,0,1,1
J14979,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,26,Single,0,Some college - no degree,Food Preparation & Serving Related,$25000 - $37499,,1~3,1~3,1~3,1~3,less1,1,0,0,0,1,1
F07733,Home,Alone,Rainy,55,10PM,Coffee House,2h,Female,36,Married partner,0,Bachelors degree,Unemployed,$100000 or More,,less1,never,1~3,less1,less1,1,0,0,1,0,0
J21974,No Urgent Place,Friend(s),Snowy,30,10PM,Carry out & Take away,1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,less1,less1,less1,1,1,0,0,1,1
B49563,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Business & Financial,$100000 or More,,never,4~8,1~3,4~8,1~3,1,0,0,0,1,1
A63914,No Urgent Place,Kid(s),Sunny,30,10PM,Restaurant(20-50),2h,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,,never,1~3,1~3,1~3,1~3,1,0,0,0,1,0
G10107,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,,1~3,4~8,4~8,4~8,4~8,1,1,1,0,1,1
K65192,No Urgent Place,Friend(s),Sunny,30,10PM,Restaurant(<20),2h,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Business & Financial,$37500 - $49999,,less1,gt8,1~3,1~3,1~3,1,0,0,0,1,0
J49358,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,41,Married partner,1,Graduate degree (Masters or Doctorate),Architecture & Engineering,$100000 or More,,less1,1~3,1~3,gt8,never,1,1,0,0,1,0
E86412,No Urgent Place,Partner,Sunny,80,2PM,Coffee House,2h,Female,21,Married partner,0,Some college - no degree,Unemployed,$50000 - $62499,,less1,4~8,4~8,4~8,4~8,1,0,0,0,1,1
E25970,Home,Alone,Sunny,80,10PM,Restaurant(<20),2h,Male,below21,Single,0,Some college - no degree,Student,$62500 - $74999,,never,1~3,4~8,1~3,less1,1,0,0,1,0,0
C47506,Home,Alone,Sunny,80,10PM,Carry out & Take away,1d,Male,26,Unmarried partner,0,Some college - no degree,Unemployed,$12500 - $24999,,never,less1,1~3,4~8,less1,1,0,0,0,1,1
E31991,Home,Alone,Snowy,30,6PM,Coffee House,1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,less1,less1,less1,1,1,0,0,1,0
I66333,Home,Alone,Snowy,30,10PM,Restaurant(<20),2h,Male,36,Single,0,Some college - no degree,Business & Financial,$37500 - $49999,,never,less1,gt8,gt8,never,1,1,1,0,1,0
G02520,No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Female,41,Married partner,1,Some college - no degree,Education&Training&Library,$100000 or More,,never,gt8,gt8,gt8,4~8,1,1,0,0,1,1
C21014,Work,Alone,Rainy,55,7AM,Restaurant(<20),2h,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,,less1,1~3,gt8,4~8,less1,1,1,1,0,1,0
J84888,Home,Alone,Sunny,55,10PM,Carry out & Take away,1d,Female,50plus,Single,0,High School Graduate,Management,$37500 - $49999,,less1,less1,less1,less1,1~3,1,1,1,0,1,1
J91650,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Female,21,Unmarried partner,0,Bachelors degree,Community & Social Services,$62500 - $74999,,less1,never,1~3,less1,never,1,1,0,0,1,0
K57734,Work,Alone,Rainy,55,7AM,Bar,1d,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,,less1,less1,gt8,4~8,less1,1,1,1,0,1,0
F56106,Home,Alone,Rainy,55,6PM,Bar,1d,Male,31,Married partner,1,High School Graduate,Computer & Mathematical,$87500 - $99999,,never,1~3,less1,4~8,less1,1,1,1,0,1,0
H03403,Home,Alone,Rainy,55,6PM,Bar,1d,Male,31,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,,less1,never,1~3,1~3,1~3,1,1,1,0,1,1
