Player,Slots,BJ,Craps,Bac,Bingo,Poker,Other,Total Spend,Gender,Age
Player 103,398,0,0,0,91,0,0,489,Male,59
Player 104,85,38,8,12,0,25,54,222,Female,45
Player 105,0,0,0,502,0,0,0,502,Male,60
Player 106,419,0,0,0,166,0,0,585,Male,40
Player 107,607,0,0,0,0,0,0,607,Male,29
Player 108,107,0,0,0,0,0,0,107,Female,41
Player 109,796,264,147,60,0,96,357,1720,Male,67
Player 110,793,2258,4197,1137,0,0,0,8386,Male,34
Player 111,967,89,189,69,0,146,357,1816,Female,66
Player 112,43,40,24,13,0,18,58,197,Male,63
Player 113,74,0,0,0,0,0,0,74,Male,51
Player 114,39,38,20,10,0,20,51,177,Female,65
Player 115,653,364,239,167,0,189,319,1932,Male,55
Player 116,0,684,0,0,0,0,0,684,Male,40
Player 117,609,0,0,0,89,0,0,698,Male,37
Player 118,533,0,0,0,0,0,0,533,Female,64
Player 119,533,0,0,0,99,0,0,633,Male,44
Player 120,505,0,0,0,43,0,0,549,Female,66
Player 121,769,322,207,110,0,227,453,2088,Female,59
Player 122,0,0,0,0,0,0,186,186,Female,34
Player 123,0,0,0,0,0,0,594,594,Female,37
Player 124,1046,4290,5392,1441,0,0,0,12170,Female,34
Player 125,374,0,0,0,109,0,0,483,Male,32
Player 126,440,298,213,114,0,126,520,1710,Female,39
Player 127,255,0,0,0,129,0,0,384,Male,32
Player 128,1128,4966,3954,1023,0,0,0,11071,Male,64
Player 129,0,0,0,0,0,0,439,439,Female,58
Player 130,708,158,186,83,0,189,212,1536,Male,52
Player 131,836,155,188,87,0,112,741,2119,Female,49
Player 132,853,3874,3080,476,0,0,0,8283,Female,61
Player 133,83,30,26,11,0,19,60,231,Male,47
Player 134,38,23,27,13,0,23,56,180,Female,70
Player 135,84,35,28,15,0,24,61,247,Female,41
Player 136,82,36,21,7,0,19,59,224,Male,27
Player 137,63,0,0,0,0,0,0,63,Male,23
Player 138,85,37,12,12,0,21,73,240,Male,69
Player 139,27,26,13,5,0,22,41,135,Male,63
Player 140,1253,4369,5281,794,0,0,0,11697,Female,53
Player 141,398,291,168,60,0,259,653,1829,Female,55
Player 142,900,6042,4839,1177,0,0,0,12958,Male,67
Player 143,273,0,0,0,114,0,0,387,Female,64
Player 144,63,30,12,9,0,26,39,179,Female,32
Player 145,61,27,29,7,0,28,60,213,Male,45
Player 146,696,294,220,80,0,107,569,1966,Male,36
Player 147,94,43,16,12,0,18,58,242,Male,64
Player 148,0,0,0,0,0,0,611,611,Male,21
Player 149,573,344,154,136,0,130,552,1888,Female,70
Player 150,992,436,322,83,0,256,685,2774,Female,50
Player 151,113,37,13,10,0,7,34,214,Male,53
Player 152,109,22,15,9,0,16,49,220,Female,89
Player 153,72,31,15,8,0,21,79,225,Female,39
Player 154,776,3668,3601,1071,0,0,0,9116,Male,68
Player 155,0,0,0,630,0,0,0,630,Male,43
Player 156,76,40,31,11,0,19,28,205,Female,34
Player 157,107,0,0,0,0,0,0,107,Male,32
Player 158,633,389,89,115,0,153,211,1589,Male,35
Player 159,0,298,0,0,0,0,0,298,Male,22
Player 160,376,229,120,131,0,174,352,1382,Female,36
Player 161,791,0,0,0,0,0,0,791,Male,56
Player 162,384,0,0,0,54,0,0,439,Female,37
Player 163,910,525,235,81,0,230,755,2736,Female,24
Player 164,79,42,25,10,0,26,24,205,Female,47
Player 165,142,0,0,0,0,0,0,142,Male,40
Player 166,800,267,200,73,0,158,155,1653,Male,44
Player 167,834,255,239,113,0,232,407,2080,Female,25
Player 168,612,201,348,92,0,212,581,2047,Male,29
Player 169,297,0,0,0,0,0,0,297,Male,52
Player 170,0,927,0,0,0,0,0,927,Male,26
Player 171,708,206,144,68,0,149,216,1491,Female,65
Player 172,308,0,0,0,0,0,0,308,Male,25
Player 173,0,0,0,431,0,0,0,431,Female,68
Player 174,40,23,19,9,0,27,41,159,Male,54
Player 175,113,0,0,0,0,0,0,113,Female,42
Player 176,497,0,0,0,139,0,0,637,Male,69
Player 177,90,0,0,0,0,0,0,90,Female,23
Player 178,0,0,510,0,0,0,0,510,Male,25
Player 179,60,0,0,0,0,0,0,60,Female,49
Player 180,563,0,0,0,0,0,0,563,Male,69
Player 181,481,274,179,83,0,224,499,1740,Male,46
Player 182,436,224,318,116,0,203,718,2016,Female,23
Player 183,273,0,0,0,95,0,0,368,Male,44
Player 184,57,26,20,10,0,29,53,195,Female,45
Player 185,739,370,168,120,0,253,308,1957,Female,30
Player 186,60,32,23,15,0,16,62,208,Female,34
Player 187,444,279,224,63,0,95,588,1694,Female,60
Player 188,0,0,0,662,0,0,0,662,Female,55
Player 189,0,0,520,0,0,0,0,520,Female,55
Player 190,89,29,25,10,0,18,33,203,Male,53
Player 191,279,0,0,0,92,0,0,371,Female,51
Player 192,831,298,135,76,0,127,639,2108,Female,68
Player 193,0,0,0,0,0,0,534,534,Male,53
Player 194,77,21,16,11,0,10,52,187,Male,69
Player 195,54,36,9,10,0,28,38,175,Male,65
Player 196,929,176,148,116,0,174,605,2149,Female,58
Player 197,154,0,0,0,0,0,0,154,Female,22
Player 198,374,419,184,97,0,215,496,1785,Male,57
Player 199,121,40,31,7,0,15,43,256,Male,67
Player 200,67,35,21,11,0,15,86,235,Female,47
Player 201,86,35,16,8,0,21,58,225,Female,34
Player 202,465,374,173,98,0,201,558,1869,Male,53
Player 203,533,386,178,41,0,139,758,2036,Male,70
Player 204,397,0,0,0,93,0,0,490,Female,44
Player 205,89,28,15,11,0,20,54,217,Female,45
Player 206,74,45,20,14,0,16,47,216,Female,27
Player 207,70,28,26,10,0,14,47,194,Male,69
Player 208,108,0,0,0,0,0,0,108,Male,45
Player 209,617,501,334,167,0,283,442,2344,Female,21
Player 210,85,23,20,6,0,16,60,209,Male,39
Player 211,35,38,15,9,0,23,70,190,Male,56
Player 212,85,17,7,8,0,19,61,197,Male,41
Player 213,911,406,128,89,0,228,323,2085,Female,35
Player 214,1042,359,244,29,0,165,460,2300,Male,60
Player 215,62,26,6,13,0,22,41,169,Female,46
Player 216,681,0,0,0,0,0,0,681,Female,69
Player 217,55,0,0,0,0,0,0,55,Male,26
Player 218,69,13,19,12,0,18,17,148,Male,70
Player 219,789,462,153,145,0,248,340,2137,Female,52
Player 220,0,0,0,0,0,523,0,523,Female,46
Player 221,560,376,145,131,0,188,140,1539,Female,30
Player 222,55,32,10,6,0,15,68,186,Male,67
Player 223,418,0,0,0,0,0,0,418,Male,66
Player 224,46,20,23,11,0,31,26,157,Male,21
Player 225,53,0,0,0,0,0,0,53,Male,52
Player 226,0,0,0,0,0,0,487,487,Male,52
Player 227,0,582,0,0,0,0,0,582,Female,39
Player 228,0,318,0,0,0,0,0,318,Female,34
Player 229,74,26,13,11,0,23,40,188,Male,63
Player 230,54,39,13,8,0,14,36,165,Male,30
Player 231,0,0,0,0,0,0,557,557,Female,27
Player 232,86,24,28,7,0,20,47,212,Male,36
Player 233,24,26,18,9,0,15,58,150,Male,47
Player 234,0,0,683,0,0,0,0,683,Female,52
Player 235,100,0,0,0,0,0,0,100,Female,70
Player 236,1101,2626,5304,980,0,0,0,10010,Female,68
Player 237,534,0,0,0,0,0,0,534,Male,43
Player 238,564,240,169,118,0,209,467,1766,Female,70
Player 239,72,36,23,7,0,13,62,214,Female,40
Player 240,79,0,0,0,0,0,0,79,Male,63
Player 241,0,0,554,0,0,0,0,554,Female,69
Player 242,288,0,0,0,87,0,0,375,Female,24
Player 243,90,44,21,8,0,31,49,243,Female,57
Player 244,111,17,15,6,0,16,11,177,Female,26
Player 245,80,21,9,15,0,6,33,164,Female,26
Player 246,789,5012,3861,1581,0,0,0,11242,Female,27
Player 247,82,23,20,8,0,14,59,206,Female,56
Player 248,49,28,19,13,0,18,75,202,Female,22
Player 249,0,0,0,0,0,0,446,446,Female,22
Player 250,88,28,27,7,0,8,48,205,Female,52
Player 251,345,0,0,0,103,0,0,448,Male,25
Player 252,0,0,0,0,0,686,0,686,Male,57
Player 253,688,3923,4635,1120,0,0,0,10365,Male,64
Player 254,634,181,150,126,0,150,490,1732,Female,60
Player 255,63,26,20,10,0,24,81,224,Male,39
Player 256,293,331,276,72,0,166,650,1788,Female,40
Player 257,539,0,0,0,130,0,0,669,Female,21
Player 258,45,0,0,0,0,0,0,45,Female,58
Player 259,393,0,0,0,78,0,0,471,Male,70
Player 260,592,243,217,65,0,205,257,1580,Male,34
Player 261,710,4515,4674,625,0,0,0,10524,Female,46
Player 262,562,0,0,0,0,0,0,562,Male,30
Player 263,0,466,0,0,0,0,0,466,Male,24
Player 264,61,37,23,7,0,26,57,209,Male,47
Player 265,385,0,0,0,108,0,0,492,Male,23
Player 266,84,0,0,0,0,0,0,84,Female,30
Player 267,1076,5429,3605,933,0,0,0,11042,Male,45
Player 268,103,38,12,7,0,10,47,217,Female,51
Player 269,494,164,207,60,0,162,640,1727,Male,46
Player 270,87,44,23,11,0,18,45,227,Female,56
Player 271,560,210,178,68,0,313,491,1819,Male,47
Player 272,880,307,249,78,0,139,598,2250,Male,27
Player 273,765,337,255,125,0,214,586,2283,Male,37
Player 274,474,251,288,132,0,169,410,1725,Female,30
Player 275,1325,1640,3615,1059,0,0,0,7639,Female,34
Player 276,594,285,236,94,0,188,531,1929,Male,56
Player 277,62,40,28,9,0,17,37,194,Male,29
Player 278,655,0,0,0,0,0,0,655,Female,46
Player 279,522,0,0,0,47,0,0,570,Female,35
Player 280,89,0,0,0,0,0,0,89,Female,62
Player 281,563,0,0,0,0,0,0,563,Female,56
Player 282,77,25,16,9,0,16,50,193,Male,26
Player 283,226,0,0,0,96,0,0,322,Male,61
Player 284,543,368,288,108,0,124,388,1820,Female,68
Player 285,668,368,224,122,0,266,428,2077,Female,27
Player 286,87,0,0,0,0,0,0,87,Male,25
Player 287,577,392,193,113,0,171,169,1615,Male,51
Player 288,1299,5004,4422,1893,0,0,0,12619,Male,44
Player 289,514,0,0,0,147,0,0,660,Female,61
Player 290,419,0,0,0,120,0,0,540,Female,27
Player 291,52,22,28,8,0,12,70,192,Female,43
Player 292,751,486,163,77,0,173,535,2185,Male,34
Player 293,77,30,15,12,0,17,69,220,Female,21
Player 294,45,36,22,13,0,14,42,173,Female,40
Player 295,124,22,23,10,0,28,70,277,Male,21
Player 296,69,39,15,13,0,20,60,217,Male,46
Player 297,77,31,29,11,0,20,30,198,Male,27
Player 298,86,0,0,0,0,0,0,86,Male,21
Player 299,73,30,24,4,0,30,45,205,Female,65
Player 300,53,20,30,2,0,10,53,167,Female,32
Player 301,77,18,29,6,0,31,37,198,Male,56
Player 302,609,292,217,150,0,228,728,2223,Female,27
Player 303,90,44,24,6,0,21,51,236,Male,27
Player 304,68,53,13,5,0,11,57,207,Male,34
Player 305,738,350,243,86,0,219,473,2109,Female,62
Player 306,691,0,0,0,0,0,0,691,Male,28
Player 307,0,718,0,0,0,0,0,718,Male,29
Player 308,1188,3114,7251,893,0,0,0,12445,Male,23
Player 309,72,18,23,8,0,25,44,191,Male,35
Player 310,837,439,260,105,0,178,395,2215,Male,65
Player 311,499,356,304,86,0,276,602,2123,Male,30
Player 312,319,0,0,0,129,0,0,447,Male,34
Player 313,128,0,0,0,0,0,0,128,Male,70
Player 314,682,132,145,82,0,220,750,2011,Male,30
Player 315,1017,243,255,91,0,144,431,2182,Male,26
Player 316,525,0,0,0,0,0,0,525,Female,24
Player 317,79,37,23,14,0,22,58,233,Female,24
Player 318,416,0,0,0,0,0,0,416,Male,49
Player 319,65,20,36,10,0,24,44,199,Female,63
Player 320,67,31,21,10,0,26,36,192,Female,56
Player 321,471,205,287,81,0,284,631,1959,Female,68
Player 322,82,34,27,14,0,21,46,224,Male,64
Player 323,46,31,26,13,0,24,64,204,Female,30
Player 324,685,292,275,122,0,187,752,2313,Male,41
Player 325,0,0,0,0,0,0,293,293,Male,40
Player 326,496,0,0,0,98,0,0,593,Male,37
Player 327,98,16,16,4,0,14,49,197,Male,53
Player 328,78,36,21,9,0,19,49,212,Male,26
Player 329,76,31,21,12,0,26,32,198,Female,51
Player 330,117,0,0,0,0,0,0,117,Female,48
Player 331,683,199,190,109,0,181,510,1872,Male,36
Player 332,144,0,0,0,0,0,0,144,Male,37
Player 333,146,0,0,0,0,0,0,146,Female,21
Player 334,0,0,0,0,0,0,549,549,Male,31
Player 335,742,362,246,140,0,194,671,2355,Female,26
Player 336,75,29,19,11,0,32,37,203,Female,27
Player 337,122,0,0,0,0,0,0,122,Female,61
Player 338,73,31,20,10,0,24,57,214,Male,35
Player 339,321,0,0,0,0,0,0,321,Female,34
Player 340,94,26,22,11,0,34,69,256,Female,60
Player 341,128,0,0,0,0,0,0,128,Female,29
Player 342,85,27,22,8,0,16,32,189,Female,24
Player 343,814,157,270,139,0,160,448,1987,Male,31
Player 344,38,0,0,0,0,0,0,38,Male,36
Player 345,64,29,17,9,0,28,44,192,Male,40
Player 346,162,0,0,0,71,0,0,232,Female,53
Player 347,0,0,0,0,0,381,0,381,Male,26
Player 348,711,5115,4326,733,0,0,0,10885,Male,63
Player 349,730,265,229,89,0,231,584,2129,Female,23
Player 350,44,0,0,0,0,0,0,44,Male,49
Player 351,55,27,26,5,0,28,81,223,Male,40
Player 352,70,23,27,8,0,13,50,191,Female,47
Player 353,51,39,32,13,0,14,57,206,Male,36
Player 354,1092,3157,3123,1364,0,0,0,8736,Male,58
Player 355,77,32,7,14,0,24,52,205,Male,23
Player 356,687,429,259,96,0,153,417,2041,Female,25
Player 357,582,298,377,148,0,275,391,2071,Male,29
Player 358,96,0,0,0,0,0,0,96,Female,38
Player 359,0,0,0,898,0,0,0,898,Female,52
Player 360,73,38,21,11,0,17,31,191,Male,58
Player 361,457,0,0,0,0,0,0,457,Female,51
Player 362,0,0,0,0,0,0,442,442,Female,50
Player 363,751,131,196,85,0,168,444,1775,Female,38
Player 364,80,39,15,8,0,16,31,190,Male,59
Player 365,545,0,0,0,124,0,0,669,Male,30
Player 366,94,0,0,0,0,0,0,94,Male,26
Player 367,0,617,0,0,0,0,0,617,Male,24
Player 368,83,16,21,2,0,10,64,195,Male,49
Player 369,44,0,0,0,117,0,0,162,Male,48
Player 370,76,30,19,6,0,15,34,180,Female,46
Player 371,413,0,0,0,0,0,0,413,Female,55
Player 372,104,0,0,0,0,0,0,104,Female,62
Player 373,838,280,154,75,0,128,649,2124,Female,28
Player 374,99,27,17,10,0,21,51,226,Male,41
Player 375,0,0,0,0,0,0,737,737,Female,29
Player 376,376,0,0,0,72,0,0,448,Male,53
Player 377,69,0,0,0,0,0,0,69,Female,44
Player 378,93,34,20,11,0,34,44,236,Male,62
Player 379,46,39,20,4,0,16,87,211,Female,33
Player 380,966,332,190,82,0,183,424,2175,Male,59
Player 381,79,27,18,7,0,12,50,193,Female,39
Player 382,101,0,0,0,0,0,0,101,Female,50
Player 383,604,352,232,141,0,307,529,2167,Male,35
Player 384,64,36,17,9,0,24,66,217,Male,51
Player 385,491,104,126,158,0,173,536,1587,Female,65
Player 386,363,0,0,0,79,0,0,442,Male,60
Player 387,55,24,22,8,0,4,52,166,Male,40
Player 388,381,0,0,0,0,0,0,381,Male,39
Player 389,44,29,24,13,0,16,48,173,Male,28
Player 390,0,240,0,0,0,0,0,240,Female,28
Player 391,480,5501,3890,1105,0,0,0,10976,Male,58
Player 392,968,429,256,91,0,296,463,2503,Male,50
Player 393,945,368,182,120,0,65,366,2045,Male,30
Player 394,60,27,18,14,0,21,56,195,Female,26
Player 395,81,31,18,8,0,22,66,226,Male,22
Player 396,341,397,254,91,0,314,621,2019,Male,43
Player 397,454,0,0,0,99,0,0,552,Male,66
Player 398,563,179,238,112,0,159,491,1742,Female,51
Player 399,837,309,254,154,0,301,401,2257,Male,46
Player 400,924,275,125,129,0,79,493,2025,Male,54
Player 401,109,0,0,0,0,0,0,109,Female,25
Player 402,75,40,19,12,0,16,50,212,Male,30
Player 403,81,23,13,10,0,20,81,228,Male,34
Player 404,0,510,0,0,0,0,0,510,Male,53
Player 405,370,0,0,0,113,0,0,483,Male,70
Player 406,93,0,0,0,0,0,0,93,Male,38
Player 407,525,0,0,0,122,0,0,647,Male,33
Player 408,1013,301,131,36,0,199,632,2311,Male,28
Player 409,126,0,0,0,0,0,0,126,Female,57
Player 410,0,428,0,0,0,0,0,428,Male,53
Player 411,79,24,18,11,0,26,61,219,Male,43
Player 412,95,0,0,0,0,0,0,95,Male,39
Player 413,225,0,0,0,110,0,0,335,Male,40
Player 414,665,365,183,111,0,160,554,2038,Female,45
Player 415,665,395,280,122,0,198,505,2165,Female,38
Player 416,102,0,0,0,0,0,0,102,Male,30
Player 417,420,0,0,0,90,0,0,510,Female,30
Player 418,494,170,175,78,0,183,462,1563,Male,58
Player 419,947,230,190,102,0,199,597,2265,Male,22
Player 420,54,16,15,8,0,18,53,164,Female,61
Player 421,427,0,0,0,94,0,0,520,Female,54
Player 422,58,27,25,7,0,15,45,178,Male,39
Player 423,891,136,80,98,0,210,522,1936,Female,23
Player 424,808,174,197,109,0,126,344,1758,Female,23
Player 425,149,0,0,0,0,0,0,149,Male,30
Player 426,713,273,144,232,0,169,459,1989,Male,26
Player 427,821,524,155,81,0,203,276,2061,Female,27
Player 428,132,0,0,0,0,0,0,132,Female,45
Player 429,68,19,16,7,0,15,36,161,Male,37
Player 430,606,304,135,104,0,231,757,2137,Female,22
Player 431,0,591,0,0,0,0,0,591,Female,27
Player 432,0,0,0,0,0,0,613,613,Male,50
Player 433,96,0,0,0,0,0,0,96,Female,69
Player 434,355,0,0,0,0,0,0,355,Male,66
Player 435,591,219,243,114,0,205,411,1784,Male,31
Player 436,38,22,21,11,0,26,26,144,Male,54
Player 437,591,0,0,0,63,0,0,654,Male,23
Player 438,65,27,30,7,0,7,54,189,Female,26
Player 439,0,0,592,0,0,0,0,592,Male,37
Player 440,711,333,371,110,0,277,703,2504,Female,39
Player 441,401,0,0,0,0,0,0,401,Female,45
Player 442,0,379,0,0,0,0,0,379,Male,50
Player 443,215,0,0,0,119,0,0,334,Male,41
Player 444,121,0,0,0,0,0,0,121,Male,47
Player 445,96,0,0,0,0,0,0,96,Female,53
Player 446,565,327,289,112,0,240,483,2016,Male,67
Player 447,66,38,17,9,0,21,33,185,Female,48
Player 448,1031,5166,3001,606,0,0,0,9804,Male,61
Player 449,1083,160,148,120,0,372,366,2248,Female,29
Player 450,71,32,36,11,0,22,69,240,Female,53
Player 451,438,0,0,0,28,0,0,467,Female,47
Player 452,60,28,23,7,0,20,47,186,Male,64
Player 453,329,380,125,136,0,115,823,1907,Female,52
Player 454,0,0,0,0,0,0,603,603,Female,42
Player 455,410,0,0,0,0,0,0,410,Male,44
Player 456,89,17,21,12,0,19,45,203,Male,50
Player 457,807,490,181,74,0,148,591,2292,Male,27
Player 458,0,0,349,0,0,0,0,349,Female,35
Player 459,50,21,26,7,0,29,60,194,Male,44
Player 460,89,23,15,6,0,18,22,173,Female,59
Player 461,117,0,0,0,0,0,0,117,Female,27
Player 462,85,0,0,0,0,0,0,85,Male,34
Player 463,939,4422,3068,916,0,0,0,9345,Female,55
Player 464,393,0,0,0,0,0,0,393,Male,70
Player 465,139,0,0,0,0,0,0,139,Female,30
Player 466,0,0,0,466,0,0,0,466,Female,46
Player 467,573,372,173,83,0,169,492,1861,Male,57
Player 468,1212,3488,4141,906,0,0,0,9746,Male,41
Player 469,1090,229,291,100,0,156,336,2201,Female,25
Player 470,778,424,159,127,0,250,285,2023,Female,61
Player 471,68,36,22,7,0,22,36,192,Female,46
Player 472,357,0,0,0,0,0,0,357,Female,39
Player 473,101,33,28,15,0,7,72,255,Female,52
Player 474,337,288,133,87,0,157,517,1520,Male,28
Player 475,90,9,13,12,0,23,44,191,Female,56
Player 476,490,0,0,0,0,0,0,490,Male,65
Player 477,76,12,16,9,0,17,47,177,Female,22
Player 478,146,0,0,0,0,0,0,146,Female,67
Player 479,0,0,467,0,0,0,0,467,Male,29
Player 480,397,0,0,0,0,0,0,397,Female,29
Player 481,0,0,0,0,0,577,0,577,Female,47
Player 482,0,0,468,0,0,0,0,468,Male,67
Player 483,642,381,170,58,0,225,548,2024,Female,64
Player 484,658,355,241,109,0,256,321,1940,Male,66
Player 485,951,175,257,62,0,118,507,2069,Male,52
Player 486,1269,5694,4193,1270,0,0,0,12426,Male,31
Player 487,698,181,84,87,0,220,384,1654,Female,58
Player 488,0,0,0,0,0,0,458,458,Male,38
Player 489,465,0,0,0,130,0,0,595,Male,23
Player 490,365,0,0,0,0,0,0,365,Female,50
Player 491,609,298,186,39,0,146,217,1494,Female,24
Player 492,51,20,18,8,0,22,55,173,Male,41
Player 493,273,0,0,0,0,0,0,273,Male,70
Player 494,608,137,167,117,0,133,502,1665,Male,57
Player 495,653,0,0,0,0,0,0,653,Male,21
Player 496,861,327,158,120,0,204,498,2169,Male,45
Player 497,104,0,0,0,0,0,0,104,Female,60
Player 498,67,0,0,0,0,0,0,67,Male,66
Player 499,576,311,122,104,0,235,518,1864,Female,45
Player 500,682,239,200,83,0,159,901,2264,Female,44
Player 501,96,32,27,11,0,19,29,214,Female,38
Player 502,55,31,21,5,0,22,49,183,Female,69
Player 503,0,0,479,0,0,0,0,479,Female,26
Player 504,96,19,12,9,0,23,63,223,Female,40
Player 505,68,25,22,13,0,24,28,180,Female,21
Player 506,344,0,0,0,0,0,0,344,Male,48
Player 507,145,0,0,0,0,0,0,145,Male,30
Player 508,539,0,0,0,85,0,0,624,Male,51
Player 509,662,327,91,123,0,219,543,1964,Female,23
Player 510,0,0,0,0,0,0,327,327,Female,56
Player 511,87,0,0,0,0,0,0,87,Male,25
Player 512,51,40,17,10,0,15,46,179,Female,48
Player 513,0,0,0,0,0,0,625,625,Female,66
Player 514,0,0,0,491,0,0,0,491,Male,36
Player 515,68,31,20,10,0,27,58,214,Male,53
Player 516,161,0,0,0,0,0,0,161,Female,51
Player 517,62,38,21,10,0,24,38,193,Male,31
Player 518,333,0,0,0,73,0,0,406,Male,27
Player 519,72,13,13,9,0,32,22,160,Male,40
Player 520,229,0,0,0,0,0,0,229,Male,56
Player 521,57,15,25,12,0,23,65,198,Female,31
Player 522,390,0,0,0,166,0,0,555,Female,64
Player 523,0,0,0,0,0,694,0,694,Female,39
Player 524,0,548,0,0,0,0,0,548,Male,39
Player 525,666,0,0,0,0,0,0,666,Male,42
