id,destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp
A19889,No Urgent Place,Alone,Rainy,55,10AM,Coffee House,1d,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$87500 - $99999,,1~3,4~8,4~8,4~8,1~3,1,1,0,0,1
A20172,No Urgent Place,Alone,Sunny,80,2PM,Restaurant(<20),2h,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Unemployed,Less than $12500,,never,gt8,1~3,less1,less1,1,1,0,0,1
A20632,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,,less1,1~3,less1,1~3,less1,1,1,0,0,1
A21114,Work,Alone,Sunny,55,7AM,Bar,1d,Female,21,Unmarried partner,0,Bachelors degree,Sales & Related,$25000 - $37499,,1~3,4~8,4~8,1~3,1~3,1,1,1,0,1
A23729,No Urgent Place,Alone,Sunny,55,6PM,Coffee House,2h,Female,21,Married partner,1,Some college - no degree,Student,$12500 - $24999,,1~3,1~3,4~8,4~8,never,1,0,0,0,1
A24322,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Male,21,Single,0,Some college - no degree,Student,Less than $12500,,less1,less1,less1,1~3,1~3,1,0,0,0,1
A24475,Home,Alone,Sunny,80,6PM,Coffee House,1d,Male,36,Married partner,1,Graduate degree (Masters or Doctorate),Transportation & Material Moving,$87500 - $99999,,less1,less1,less1,1~3,less1,1,0,0,1,0
A24748,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$12500 - $24999,,less1,never,less1,less1,less1,1,0,0,0,1
A24979,No Urgent Place,Alone,Sunny,80,10AM,Bar,1d,Female,21,Single,0,Bachelors degree,Life Physical Social Science,$37500 - $49999,,less1,never,less1,1~3,never,1,0,0,0,1
A25059,No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,21,Single,0,Bachelors degree,Legal,$87500 - $99999,,1~3,less1,less1,less1,less1,1,1,0,0,1
A25203,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,,1~3,gt8,4~8,gt8,4~8,1,1,0,0,1
A26406,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,41,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,,never,never,4~8,1~3,less1,1,1,0,0,1
A27158,Work,Alone,Snowy,30,7AM,Restaurant(<20),2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,,less1,less1,gt8,4~8,less1,1,1,1,0,1
A27820,Work,Alone,Sunny,55,7AM,Bar,1d,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Unemployed,$62500 - $74999,,never,less1,1~3,less1,less1,1,1,1,0,1
A27832,No Urgent Place,Alone,Sunny,80,10AM,Bar,1d,Female,36,Single,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$37500 - $49999,,less1,never,4~8,1~3,less1,1,0,0,0,1
A27929,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,36,Married partner,1,Some college - no degree,Management,$50000 - $62499,,less1,1~3,4~8,1~3,1~3,1,1,0,0,1
A28377,Work,Alone,Snowy,30,7AM,Coffee House,1d,Female,46,Married partner,1,Bachelors degree,Business & Financial,$100000 or More,,never,4~8,4~8,1~3,,1,0,0,1,0
A28512,Home,Alone,Rainy,55,10PM,Coffee House,2h,Female,50plus,Widowed,1,High School Graduate,Retired,$12500 - $24999,,never,never,4~8,1~3,,1,0,0,1,0
A29012,Home,Alone,Sunny,55,6PM,Bar,2h,Female,31,Married partner,1,Associates degree,Unemployed,$37500 - $49999,,never,1~3,1~3,1~3,1~3,1,1,0,1,0
A29362,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),2h,Female,26,Married partner,1,Bachelors degree,Protective Service,$100000 or More,,never,gt8,4~8,gt8,1~3,1,1,0,0,1
A29605,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$12500 - $24999,,less1,never,less1,less1,less1,1,0,0,0,1
A29863,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),2h,Male,26,Married partner,0,Bachelors degree,Computer & Mathematical,$75000 - $87499,,1~3,never,1~3,1~3,less1,1,1,0,0,1
A30713,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(20-50),2h,Male,36,Married partner,0,Associates degree,Management,$100000 or More,,1~3,1~3,1~3,1~3,1~3,1,1,0,0,1
A30930,No Urgent Place,Alone,Snowy,30,2PM,Bar,1d,Male,31,Single,0,Bachelors degree,Office & Administrative Support,$25000 - $37499,,never,less1,less1,less1,less1,1,0,0,0,1
A31280,No Urgent Place,Friend(s),Sunny,30,10PM,Restaurant(<20),2h,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,,less1,less1,gt8,4~8,less1,1,0,0,0,1
A31291,No Urgent Place,Friend(s),Sunny,30,10AM,Carry out & Take away,2h,Male,31,Single,0,Associates degree,Unemployed,Less than $12500,,less1,less1,less1,1~3,less1,1,0,0,0,1
A31363,No Urgent Place,Alone,Sunny,80,10PM,Restaurant(<20),1d,Female,31,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$100000 or More,,less1,less1,gt8,4~8,less1,1,0,0,0,1
A31827,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Male,21,Single,0,Bachelors degree,Student,$25000 - $37499,,1~3,4~8,1~3,1~3,less1,1,0,0,0,1
A31843,No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,21,Single,0,Some college - no degree,Student,Less than $12500,,less1,less1,less1,1~3,1~3,1,1,0,0,1
A32168,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,46,Single,0,Some college - no degree,Student,$12500 - $24999,,never,4~8,1~3,1~3,never,1,1,0,0,1
A32364,Home,Alone,Sunny,55,6PM,Bar,1d,Male,50plus,Married partner,0,Bachelors degree,Personal Care & Service,$50000 - $62499,,never,less1,less1,1~3,less1,1,0,0,1,0
A32371,No Urgent Place,Friend(s),Sunny,55,10AM,Restaurant(<20),2h,Male,26,Single,0,Some college - no degree,Unemployed,$87500 - $99999,,never,1~3,4~8,less1,never,1,1,0,0,1
A33577,Home,Kid(s),Sunny,55,10PM,Restaurant(20-50),1d,Female,41,Married partner,1,Associates degree,Unemployed,$62500 - $74999,,less1,less1,less1,less1,less1,1,1,0,1,0
A33757,No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,,less1,less1,gt8,4~8,less1,1,0,0,0,1
A34003,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$75000 - $87499,,1~3,never,less1,less1,less1,1,0,0,0,1
A34359,No Urgent Place,Friend(s),Rainy,55,10PM,Bar,2h,Male,21,Single,0,Bachelors degree,Unemployed,$50000 - $62499,,less1,1~3,1~3,less1,less1,1,1,0,0,1
A34495,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,2h,Male,31,Married partner,1,Some college - no degree,Farming Fishing & Forestry,$37500 - $49999,,less1,less1,less1,1~3,less1,1,1,0,0,1
A35575,No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),1d,Male,41,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,,,,,,,1,0,0,0,1
A35598,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(20-50),1d,Male,31,Single,1,Associates degree,Installation Maintenance & Repair,$37500 - $49999,,1~3,4~8,1~3,1~3,less1,1,0,0,0,1
A35884,Work,Alone,Sunny,55,7AM,Bar,1d,Male,36,Unmarried partner,0,Bachelors degree,Education&Training&Library,$25000 - $37499,,less1,never,4~8,gt8,less1,1,1,1,0,1
A35919,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$87500 - $99999,,less1,less1,1~3,4~8,less1,1,1,0,0,1
A37282,Home,Partner,Sunny,30,10PM,Bar,2h,Female,41,Married partner,1,Associates degree,Unemployed,$62500 - $74999,,less1,less1,less1,less1,less1,1,1,1,0,1
A37547,Home,Alone,Sunny,80,6PM,Coffee House,1d,Male,26,Single,0,Bachelors degree,Business & Financial,$100000 or More,,4~8,1~3,1~3,1~3,less1,1,1,0,0,1
A37927,Home,Alone,Sunny,55,6PM,Bar,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,,1~3,4~8,4~8,4~8,4~8,1,0,0,1,0
A38788,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,26,Married partner,0,Bachelors degree,Life Physical Social Science,$37500 - $49999,,less1,1~3,1~3,1~3,less1,1,0,0,0,1
A39460,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,46,Single,0,Some college - no degree,Sales & Related,$25000 - $37499,,never,never,1~3,less1,less1,1,1,0,0,1
A39607,Home,Alone,Sunny,80,6PM,Carry out & Take away,1d,Female,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$37500 - $49999,,less1,never,1~3,less1,never,1,0,0,0,1
A40206,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,21,Married partner,0,Some college - no degree,Education&Training&Library,$25000 - $37499,,never,never,1~3,1~3,less1,1,1,0,0,1
A40224,Work,Alone,Sunny,80,7AM,Carry out & Take away,1d,Female,31,Married partner,0,Some college - no degree,Unemployed,$50000 - $62499,,never,never,1~3,gt8,1~3,1,0,0,1,0
A40675,Home,Alone,Snowy,30,10PM,Restaurant(<20),2h,Male,21,Single,0,Bachelors degree,Student,$25000 - $37499,,1~3,4~8,4~8,1~3,,1,1,1,0,1
A41779,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,below21,Single,0,Some college - no degree,Student,$62500 - $74999,,never,1~3,1~3,never,1~3,1,0,0,0,1
A42390,No Urgent Place,Alone,Sunny,80,10PM,Restaurant(<20),1d,Male,50plus,Married partner,1,Some college - no degree,Office & Administrative Support,$62500 - $74999,,1~3,never,1~3,1~3,less1,1,0,0,0,1
A44203,No Urgent Place,Partner,Sunny,80,2PM,Restaurant(20-50),1d,Female,50plus,Married partner,0,Bachelors degree,Sales & Related,$50000 - $62499,,1~3,4~8,less1,1~3,less1,1,0,0,0,1
A44219,No Urgent Place,Partner,Sunny,30,10AM,Bar,1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,less1,less1,less1,1,1,0,0,1
A44352,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Male,36,Unmarried partner,0,Some college - no degree,Construction & Extraction,$25000 - $37499,,never,4~8,4~8,less1,less1,1,0,0,1,0
A44353,No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,,1~3,4~8,4~8,4~8,4~8,1,0,0,0,1
A47023,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,,1~3,4~8,1~3,1~3,1,1,1,0,1
A47531,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,31,Single,0,Bachelors degree,Transportation & Material Moving,$25000 - $37499,,less1,1~3,4~8,gt8,less1,1,1,0,0,1
A47735,Work,Alone,Sunny,80,7AM,Coffee House,2h,Female,26,Unmarried partner,0,Some college - no degree,Student,$25000 - $37499,,never,less1,1~3,1~3,less1,1,1,0,1,0
A48247,No Urgent Place,Friend(s),Sunny,30,10PM,Carry out & Take away,1d,Male,31,Single,0,Bachelors degree,Office & Administrative Support,$25000 - $37499,,never,less1,less1,less1,less1,1,1,0,0,1
A51133,No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$25000 - $37499,,less1,1~3,1~3,1~3,1~3,1,1,0,0,1
A51287,No Urgent Place,Friend(s),Snowy,30,10AM,Carry out & Take away,1d,Female,50plus,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$37500 - $49999,,never,1~3,never,1~3,less1,1,1,0,0,1
A52078,Work,Alone,Snowy,30,7AM,Restaurant(20-50),1d,Male,36,Unmarried partner,1,Some college - no degree,Building & Grounds Cleaning & Maintenance,$25000 - $37499,,1~3,less1,1~3,1~3,less1,1,1,1,0,1
A52540,No Urgent Place,Friend(s),Rainy,55,10PM,Bar,2h,Male,21,Unmarried partner,0,High School Graduate,Sales & Related,$37500 - $49999,,never,less1,4~8,4~8,less1,1,1,0,0,1
A53087,Home,Alone,Rainy,55,6PM,Bar,1d,Male,31,Single,0,Bachelors degree,Education&Training&Library,$50000 - $62499,,never,never,1~3,1~3,1~3,1,1,1,0,1
A53113,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,1d,Female,50plus,Single,0,Bachelors degree,Installation Maintenance & Repair,$25000 - $37499,,never,4~8,4~8,gt8,less1,1,1,0,0,1
A54080,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Legal,$87500 - $99999,,1~3,never,less1,less1,less1,1,1,0,0,1
A54552,Home,Alone,Sunny,55,6PM,Bar,1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,,less1,1~3,1~3,less1,less1,1,0,0,1,0
A54658,Home,Kid(s),Sunny,55,10PM,Restaurant(20-50),1d,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$75000 - $87499,,1~3,never,less1,less1,less1,1,1,0,1,0
A54943,Home,Alone,Sunny,30,6PM,Carry out & Take away,1d,Male,41,Divorced,1,High School Graduate,Sales & Related,$12500 - $24999,,never,less1,less1,1~3,4~8,1,0,0,0,1
A55010,Home,Alone,Sunny,80,6PM,Coffee House,1d,Female,50plus,Divorced,1,Graduate degree (Masters or Doctorate),Sales & Related,$37500 - $49999,,less1,1~3,4~8,1~3,less1,1,0,0,1,0
A55738,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Female,21,Single,0,Some college - no degree,Student,Less than $12500,,gt8,4~8,4~8,4~8,1~3,1,0,0,0,1
A56018,Home,Alone,Sunny,80,6PM,Coffee House,1d,Male,21,Single,0,High School Graduate,Student,$37500 - $49999,,less1,never,less1,less1,never,1,0,0,1,0
A56398,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Management,$100000 or More,,4~8,never,4~8,4~8,1~3,1,1,0,0,1
A57173,Work,Alone,Snowy,30,7AM,Restaurant(<20),1d,Male,21,Single,0,Some college - no degree,Student,$100000 or More,,less1,1~3,1~3,less1,less1,1,1,0,0,1
A57238,No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,,1~3,less1,4~8,1~3,4~8,1,1,0,0,1
A57656,No Urgent Place,Friend(s),Sunny,30,10PM,Restaurant(<20),2h,Female,50plus,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$37500 - $49999,,never,1~3,never,1~3,less1,1,0,0,0,1
A58025,No Urgent Place,Alone,Sunny,55,6PM,Coffee House,2h,Female,50plus,Divorced,1,Bachelors degree,Retired,Less than $12500,,never,4~8,gt8,gt8,less1,1,0,0,0,1
A58053,Home,Kid(s),Sunny,80,10PM,Carry out & Take away,2h,Female,50plus,Married partner,1,Bachelors degree,Education&Training&Library,$100000 or More,,never,less1,4~8,1~3,1~3,1,1,0,0,1
A58273,Work,Alone,Snowy,30,7AM,Restaurant(<20),2h,Male,36,Unmarried partner,1,Some college - no degree,Building & Grounds Cleaning & Maintenance,$25000 - $37499,,1~3,less1,1~3,1~3,less1,1,1,1,0,1
A58942,Work,Alone,Sunny,55,7AM,Coffee House,1d,Female,31,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$12500 - $24999,,never,1~3,4~8,4~8,never,1,1,0,0,1
A59449,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Female,21,Single,0,Bachelors degree,Life Physical Social Science,$37500 - $49999,,less1,never,less1,1~3,never,1,1,0,0,1
A59640,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,1d,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$75000 - $87499,,never,never,1~3,1~3,never,1,0,0,0,1
A59678,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Female,26,Single,0,Bachelors degree,Unemployed,$25000 - $37499,,1~3,never,1~3,4~8,1~3,1,0,0,0,1
A60253,Home,Alone,Snowy,30,10PM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Community & Social Services,$100000 or More,,less1,never,1~3,1~3,1~3,1,1,0,0,1
A60455,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,26,Single,0,Bachelors degree,Office & Administrative Support,$50000 - $62499,,4~8,never,4~8,1~3,less1,1,0,0,0,1
A61454,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,26,Unmarried partner,0,High School Graduate,Business & Financial,$12500 - $24999,,never,1~3,less1,1~3,never,1,1,0,0,1
A62000,Home,Alone,Snowy,30,10PM,Coffee House,2h,Male,below21,Unmarried partner,0,Some college - no degree,Student,$25000 - $37499,,never,never,1~3,less1,never,1,1,0,0,1
A62136,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,41,Single,0,High School Graduate,Installation Maintenance & Repair,$12500 - $24999,,less1,1~3,1~3,less1,never,1,0,0,0,1
A62229,No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Management,$75000 - $87499,,less1,1~3,4~8,1~3,never,1,1,0,0,1
A63019,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),1d,Female,21,Single,0,Some college - no degree,Student,$50000 - $62499,,never,never,never,gt8,less1,1,1,0,0,1
A63757,No Urgent Place,Kid(s),Snowy,30,6PM,Bar,1d,Male,36,Unmarried partner,1,Associates degree,Unemployed,$25000 - $37499,,never,never,1~3,less1,never,1,1,0,0,1
A65128,Home,Alone,Sunny,80,6PM,Carry out & Take away,1d,Male,31,Married partner,1,High School Graduate,Computer & Mathematical,$87500 - $99999,,never,1~3,less1,4~8,less1,1,0,0,0,1
A65543,No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,50plus,Single,0,Bachelors degree,Management,$100000 or More,,1~3,4~8,4~8,1~3,less1,1,1,0,0,1
